,시도명,보조시설유무
0,대전광역시,Z
1,대전광역시,Z
2,대전광역시,Z
3,대전광역시,Z
4,대전광역시,Z
5,대전광역시,Z
6,대전광역시,Z
7,대전광역시,Z
8,대전광역시,Z
9,대전광역시,Z
10,대전광역시,Z
11,대전광역시,Z
12,대전광역시,Z
13,대전광역시,Z
14,대전광역시,Z
15,대전광역시,Z
16,대전광역시,Z
17,대전광역시,Z
18,대전광역시,Z
19,대전광역시,Z
20,대전광역시,Z
21,대전광역시,Z
22,대전광역시,Z
23,대전광역시,Z
24,대전광역시,Z
25,대전광역시,Z
26,대전광역시,Z
27,대전광역시,Z
28,대전광역시,Z
29,대전광역시,Z
30,대전광역시,Z
31,대전광역시,Z
32,대전광역시,Z
33,대전광역시,Z
34,대전광역시,Z
35,대전광역시,Z
36,대전광역시,Z
37,대전광역시,Z
38,대전광역시,Z
39,대전광역시,Z
40,대전광역시,Z
41,대전광역시,Z
42,대전광역시,Z
43,대전광역시,Z
44,대전광역시,Z
45,대전광역시,Z
46,대전광역시,Z
47,대전광역시,Z
48,대전광역시,Z
49,대전광역시,Z
50,대전광역시,Z
51,대전광역시,Z
52,대전광역시,Z
53,대전광역시,Z
54,대전광역시,Z
55,대전광역시,Z
56,대전광역시,Z
57,대전광역시,Z
58,대전광역시,Z
59,대전광역시,Z
60,대전광역시,Z
61,대전광역시,Z
62,대전광역시,Z
63,대전광역시,Z
64,대전광역시,Z
65,대전광역시,Z
66,대전광역시,Z
67,대전광역시,Z
68,대전광역시,Z
69,대전광역시,Z
70,대전광역시,Z
71,대전광역시,Z
72,대전광역시,Z
73,대전광역시,Z
74,대전광역시,Z
75,대전광역시,Z
76,대전광역시,Z
77,대전광역시,Z
78,대전광역시,Z
79,대전광역시,Z
80,대전광역시,Z
81,대전광역시,Z
82,대전광역시,Z
83,대전광역시,Z
84,대전광역시,Z
85,대전광역시,Z
86,대전광역시,Z
87,대전광역시,Z
88,대전광역시,Z
89,대전광역시,Z
90,대전광역시,Z
91,대전광역시,Z
92,대전광역시,Z
93,대전광역시,Z
94,대전광역시,Z
95,대전광역시,Z
96,대전광역시,Z
97,대전광역시,Z
98,대전광역시,Z
99,대전광역시,Z
100,대전광역시,Z
101,대전광역시,Z
102,대전광역시,Z
103,대전광역시,Z
104,대전광역시,Z
105,대전광역시,Z
106,대전광역시,Z
107,대전광역시,Z
108,대전광역시,Z
109,대전광역시,Z
110,대전광역시,Z
111,대전광역시,Z
112,대전광역시,Z
113,대전광역시,Z
114,대전광역시,Z
115,대전광역시,Z
116,대전광역시,Z
117,대전광역시,Z
118,대전광역시,Z
119,대전광역시,Z
120,대전광역시,Z
121,대전광역시,Z
122,대전광역시,Z
123,대전광역시,Z
124,대전광역시,Z
125,대전광역시,Z
126,대전광역시,Z
127,대전광역시,Z
128,대전광역시,Z
129,대전광역시,Z
130,대전광역시,Z
131,대전광역시,Z
132,대전광역시,Z
133,대전광역시,Z
134,대전광역시,Z
135,대전광역시,Z
136,대전광역시,Z
137,대전광역시,Z
138,대전광역시,Z
139,대전광역시,Z
140,대전광역시,Z
141,대전광역시,Z
142,대전광역시,Z
143,대전광역시,Z
144,대전광역시,Z
145,대전광역시,Z
146,대전광역시,Z
147,대전광역시,Z
148,대전광역시,Z
149,대전광역시,Z
150,대전광역시,Z
151,대전광역시,Z
152,대전광역시,Z
153,대전광역시,Z
154,대전광역시,Z
155,대전광역시,Z
156,대전광역시,Z
157,대전광역시,Z
158,대전광역시,Z
159,대전광역시,Z
160,대전광역시,Z
161,대전광역시,Z
162,대전광역시,Z
163,대전광역시,Z
164,대전광역시,Z
165,대전광역시,Z
166,대전광역시,Z
167,대전광역시,Z
168,대전광역시,Z
169,대전광역시,Z
170,대전광역시,Z
171,대전광역시,Z
172,대전광역시,Z
173,대전광역시,Z
174,대전광역시,Z
175,대전광역시,Z
176,대전광역시,Z
177,대전광역시,Z
178,대전광역시,Z
179,대전광역시,Z
180,대전광역시,Z
181,대전광역시,Z
182,대전광역시,Z
183,대전광역시,Z
184,대전광역시,Z
185,대전광역시,Z
186,대전광역시,Z
187,대전광역시,Z
188,대전광역시,Z
189,대전광역시,Z
190,대전광역시,Z
191,대전광역시,Z
192,대전광역시,Z
193,대전광역시,Z
194,대전광역시,Z
195,대전광역시,Z
196,대전광역시,Z
197,대전광역시,Z
198,대전광역시,Z
199,대전광역시,Z
200,대전광역시,Z
201,대전광역시,Z
202,대전광역시,Z
203,대전광역시,Z
204,대전광역시,Z
205,대전광역시,Z
206,대전광역시,Z
207,대전광역시,Z
208,대전광역시,Z
209,대전광역시,Z
210,대전광역시,Z
211,대전광역시,Z
212,대전광역시,Z
213,대전광역시,Z
214,대전광역시,Z
215,대전광역시,Z
216,대전광역시,Z
217,대전광역시,Z
218,대전광역시,Z
