,시도명,시군구명,위도,경도,보행자신호등유무,보도턱낮춤여부,점자블록유무,보조시설유무
0,경기도,남양주시,37.601593,127.177871,Y,Y,Y,ABC
1,경기도,남양주시,37.596648,127.173525,Y,Y,Y,ABC
2,경기도,남양주시,37.596648,127.173525,Y,Y,Y,ABC
3,경기도,남양주시,37.596648,127.173525,Y,Y,Y,ABC
4,경기도,남양주시,37.596648,127.173525,Y,Y,Y,ABC
5,경기도,남양주시,37.596648,127.173525,Y,Y,Y,ABC
6,경기도,남양주시,37.596648,127.173525,Y,Y,Y,ABC
7,경기도,남양주시,37.596648,127.173525,Y,Y,Y,ABC
8,경기도,남양주시,37.601905,127.173373,N,N,N,N
9,경기도,남양주시,37.604686,127.174283,N,N,N,N
10,경기도,남양주시,37.612534,127.171871,Y,Y,Y,ABC
11,경기도,남양주시,37.612514,127.171888,N,N,N,N
12,경기도,남양주시,37.611191,127.172553,N,N,N,N
13,경기도,남양주시,37.612514,127.171888,Y,Y,Y,ABC
14,경기도,남양주시,37.612514,127.171888,Y,Y,Y,ABC
15,경기도,남양주시,37.609185,127.176908,Y,Y,Y,ABC
16,경기도,남양주시,37.609185,127.176908,Y,Y,Y,ABC
17,경기도,남양주시,37.609185,127.176908,Y,Y,Y,ABC
18,경기도,남양주시,37.609185,127.176908,Y,Y,Y,ABC
19,경기도,남양주시,37.609185,127.176908,Y,Y,Y,ABC
20,경기도,남양주시,37.616134,127.158027,N,Y,Y,BC
21,경기도,남양주시,37.599656,127.178388,Y,Y,Y,ABC
22,경기도,남양주시,37.601593,127.177871,N,Y,Y,BC
23,경기도,남양주시,37.601593,127.177871,N,Y,Y,BC
24,경기도,남양주시,37.601593,127.177871,N,Y,Y,BC
25,경기도,남양주시,37.601593,127.177871,N,Y,Y,BC
26,경기도,남양주시,37.598208,127.178355,N,Y,Y,BC
27,경기도,남양주시,37.598208,127.178355,N,Y,Y,BC
28,경기도,남양주시,37.607285,127.168943,Y,Y,Y,ABC
29,경기도,남양주시,37.607202,127.169042,N,Y,Y,BC
30,경기도,남양주시,37.607285,127.168943,Y,Y,Y,ABC
31,경기도,남양주시,37.607285,127.168943,Y,Y,Y,ABC
32,경기도,남양주시,37.607285,127.168943,Y,Y,Y,ABC
33,경기도,남양주시,37.607621,127.170471,N,Y,Y,BC
34,경기도,남양주시,37.608636,127.169844,N,Y,Y,BC
35,경기도,남양주시,37.596521,127.173519,Y,Y,Y,ABC
36,경기도,남양주시,37.596623,127.173552,Y,Y,Y,ABC
37,경기도,남양주시,37.600035,127.173943,Y,Y,Y,ABC
38,경기도,남양주시,37.601842,127.174041,Y,Y,Y,ABC
39,경기도,남양주시,37.601981,127.174082,Y,Y,Y,ABC
40,경기도,남양주시,37.604639,127.174328,Y,Y,Y,ABC
41,경기도,남양주시,37.604739,127.174328,Y,Y,Y,ABC
42,경기도,남양주시,37.606177,127.173942,Y,Y,Y,ABC
43,경기도,남양주시,37.606177,127.173942,Y,Y,Y,ABC
44,경기도,남양주시,37.608052,127.172855,Y,Y,Y,ABC
45,경기도,남양주시,37.608211,127.172807,Y,Y,Y,ABC
46,경기도,남양주시,37.608215,127.172807,Y,Y,Y,ABC
47,경기도,남양주시,37.608216,127.172807,Y,Y,Y,ABC
48,경기도,남양주시,37.608216,127.172807,Y,Y,Y,ABC
49,경기도,남양주시,37.608215,127.172807,Y,Y,Y,ABC
50,경기도,남양주시,37.608214,127.172807,Y,Y,Y,ABC
51,경기도,남양주시,37.608214,127.172807,Y,Y,Y,ABC
52,경기도,남양주시,37.608211,127.172807,Y,Y,Y,ABC
53,경기도,남양주시,37.608214,127.172807,Y,Y,Y,ABC
54,경기도,남양주시,37.608216,127.172807,Y,Y,Y,ABC
55,경기도,남양주시,37.608214,127.172807,Y,Y,Y,ABC
56,경기도,여주시,37.29635509,127.5787272,N,Y,N,B
57,경기도,여주시,37.296332,127.578586,N,Y,N,B
58,경기도,여주시,37.29630598,127.5791285,N,Y,N,B
59,경기도,여주시,37.294901,127.584358,N,Y,Y,BC
60,경기도,여주시,37.293686,127.585084,N,Y,Y,BC
61,경기도,여주시,37.36410715,127.5402383,N,N,N,N
62,경기도,여주시,37.34999556,127.5438271,N,N,N,N
63,경기도,여주시,37.34482789,127.5365518,N,N,N,N
64,경기도,여주시,37.33977121,127.5274342,Y,N,N,A
65,경기도,여주시,37.33952408,127.527422,Y,N,N,A
66,경기도,여주시,37.339641,127.527147,Y,N,N,A
67,경기도,여주시,37.3381567,127.5227044,N,N,N,N
68,경기도,여주시,37.33837669,127.5206662,Y,N,N,A
69,경기도,여주시,37.33837669,127.5206662,Y,N,N,A
70,경기도,여주시,37.33748649,127.5198117,Y,N,N,A
71,경기도,여주시,37.34527645,127.5132013,N,N,N,N
72,경기도,여주시,37.34383483,127.5503248,N,N,N,N
73,경기도,여주시,37.33253848,127.5425191,Y,Y,N,AB
74,경기도,여주시,37.33253848,127.5425191,Y,Y,N,AB
75,경기도,여주시,37.33253848,127.5425191,Y,Y,N,AB
76,경기도,여주시,37.32946459,127.5401497,N,Y,N,B
77,경기도,여주시,37.32917318,127.539829,N,Y,N,B
78,경기도,여주시,37.32926359,127.5400286,N,Y,N,B
79,경기도,여주시,37.31705569,127.5362059,N,N,N,N
80,경기도,여주시,37.32567264,127.5556298,N,Y,Y,BC
81,경기도,여주시,37.36410715,127.5402383,Y,N,N,A
82,경기도,여주시,37.3635467,127.5298443,N,Y,N,B
83,경기도,여주시,37.29100536,127.5874886,N,N,N,N
84,경기도,여주시,37.29386224,127.5918406,N,N,N,N
85,경기도,여주시,37.29493367,127.5938358,N,N,N,N
86,경기도,여주시,37.295874,127.597299,N,N,N,N
87,경기도,여주시,37.30461288,127.6126344,N,Y,N,B
88,경기도,여주시,37.30474586,127.6132408,N,Y,N,B
89,경기도,여주시,37.27635802,127.5457362,N,N,N,N
90,경기도,여주시,37.32567264,127.5556298,N,Y,Y,BC
91,경기도,여주시,37.27018972,127.6095927,Y,Y,Y,ABC
92,경기도,여주시,37.27027705,127.6095551,N,Y,Y,BC
93,경기도,여주시,37.27037524,127.6094957,N,Y,Y,BC
94,경기도,여주시,37.27070998,127.6098411,N,Y,Y,BC
95,경기도,여주시,37.27067964,127.5993718,N,Y,N,B
96,경기도,여주시,37.26922582,127.5955096,N,Y,N,B
97,경기도,여주시,37.2666262,127.5891074,N,Y,N,B
98,경기도,여주시,37.26689736,127.5859132,N,Y,N,B
99,경기도,여주시,37.26721632,127.5848764,N,Y,N,B
100,경기도,여주시,37.27176493,127.5728072,N,Y,N,B
101,경기도,여주시,37.27394955,127.5680384,N,Y,N,B
102,경기도,여주시,37.27636067,127.5622923,N,Y,N,B
103,경기도,여주시,37.29328042,127.5716726,N,Y,N,B
104,경기도,여주시,37.29305415,127.539844,N,Y,N,B
105,경기도,여주시,37.29573387,127.5433464,N,Y,N,B
106,경기도,여주시,37.34820156,127.5732509,N,N,N,N
107,경기도,여주시,37.299487,127.578951,Y,Y,N,AB
108,경기도,여주시,37.299494,127.578744,N,Y,N,B
109,경기도,여주시,37.2994826,127.5785178,N,Y,N,B
110,경기도,여주시,37.29856426,127.5791249,Y,N,N,A
111,경기도,여주시,37.17721918,127.6344651,N,Y,N,B
112,경기도,여주시,37.17680097,127.6343643,N,Y,N,B
113,경기도,여주시,37.17529006,127.6348302,N,N,N,N
114,경기도,여주시,37.23536822,127.5277433,N,Y,N,B
115,경기도,여주시,37.23519705,127.5278246,N,Y,N,B
116,경기도,여주시,37.23753758,127.5283052,N,N,N,N
117,경기도,여주시,37.23889864,127.5283749,N,N,N,N
118,경기도,여주시,37.24057628,127.5292361,N,N,N,N
119,경기도,여주시,37.24108259,127.5282051,N,N,N,N
120,경기도,여주시,37.19840609,127.5408914,N,Y,Y,BC
121,경기도,여주시,37.20416146,127.5437179,N,Y,Y,BC
122,경기도,여주시,37.20401739,127.5427902,N,Y,Y,BC
123,경기도,여주시,37.20467949,127.5391655,N,Y,Y,BC
124,경기도,여주시,37.2037278,127.5347217,N,Y,Y,BC
125,경기도,여주시,37.23959474,127.5790468,N,Y,N,B
126,경기도,여주시,37.23332064,127.5696977,Y,Y,Y,ABC
127,경기도,여주시,37.25483898,127.5425592,N,Y,N,B
128,경기도,여주시,37.25973411,127.5452608,N,Y,N,B
129,경기도,여주시,37.26350156,127.5418919,N,Y,N,B
130,경기도,여주시,37.26935791,127.5447263,N,N,N,N
131,경기도,여주시,37.27192252,127.5454637,N,N,N,N
132,경기도,여주시,37.27580507,127.545177,N,N,N,N
133,경기도,여주시,37.25483898,127.5425592,N,Y,N,B
134,경기도,여주시,37.25973411,127.5452608,N,Y,N,B
135,경기도,여주시,37.26412136,127.5417574,N,Y,N,B
136,경기도,여주시,37.26935791,127.5447263,N,N,N,N
137,경기도,여주시,37.27192252,127.5454637,N,N,N,N
138,경기도,여주시,37.27580507,127.545177,N,N,N,N
139,강원도,동해시,37.479992,129.154997,N,Y,Y,BC
140,강원도,동해시,37.484271,129.103385,N,Y,Y,BC
141,강원도,동해시,37.484155,129.103398,N,Y,Y,BC
142,강원도,동해시,37.484162,129.103037,N,Y,Y,BC
143,강원도,동해시,37.484132,129.103217,Y,Y,Y,ABC
144,강원도,동해시,37.484005,129.103376,Y,Y,Y,ABC
145,강원도,동해시,37.486212,129.108287,Y,Y,N,AB
146,강원도,동해시,37.486116,129.108157,Y,Y,N,AB
147,강원도,동해시,37.486116,129.108411,Y,Y,N,AB
148,강원도,동해시,37.486038,129.108265,N,Y,N,B
149,강원도,동해시,37.486132,129.105168,N,Y,Y,BC
150,강원도,동해시,37.486126,129.106341,N,Y,Y,BC
151,강원도,동해시,37.486199,129.106469,N,Y,N,B
152,강원도,동해시,37.486047,129.106466,N,Y,N,B
153,강원도,동해시,37.482458,129.090468,N,N,N,N
154,강원도,동해시,37.487125,129.108301,N,N,N,N
155,강원도,동해시,37.489105,129.108241,N,Y,N,B
156,강원도,동해시,37.488786,129.108228,N,Y,N,B
157,강원도,동해시,37.488338,129.108306,N,N,N,N
158,강원도,동해시,37.487704,129.108303,N,N,N,N
159,강원도,동해시,37.473166,129.109654,N,N,N,N
160,강원도,동해시,37.475521,129.110041,N,Y,N,B
161,강원도,동해시,37.479853,129.109658,Y,Y,N,AB
162,강원도,동해시,37.479726,129.109489,Y,Y,N,AB
163,강원도,동해시,37.478884,129.109492,N,Y,N,B
164,강원도,동해시,37.478958,129.109611,N,Y,N,B
165,강원도,동해시,37.479863,129.107094,N,N,N,N
166,강원도,동해시,37.479845,129.103035,Y,Y,Y,ABC
167,강원도,동해시,37.479951,129.103021,N,Y,Y,BC
168,강원도,동해시,37.479935,129.103177,Y,Y,Y,ABC
169,강원도,동해시,37.489662,129.121672,N,Y,Y,BC
170,강원도,동해시,37.487111,129.119367,N,Y,Y,BC
171,강원도,동해시,37.486992,129.119329,Y,Y,Y,ABC
172,강원도,동해시,37.486906,129.119246,N,Y,Y,BC
173,강원도,동해시,37.487511,129.118197,N,Y,Y,BC
174,강원도,동해시,37.487706,129.118126,N,Y,Y,BC
175,강원도,동해시,37.490572,129.121046,N,Y,Y,BC
176,강원도,동해시,37.490712,129.121111,Y,Y,Y,ABC
177,강원도,동해시,37.490751,129.120879,Y,Y,Y,ABC
178,강원도,동해시,37.490882,129.120943,Y,Y,Y,ABC
179,강원도,동해시,37.490774,129.121415,N,Y,Y,BC
180,강원도,동해시,37.490884,129.121183,Y,Y,Y,ABC
