,시도,시군구,육교명,엘리베이터,경사로,점자블럭,리프트,턱,핸드레일,위도,경도,보조시설유무
0,서울특별시,영등포구,우신초교 앞 보도육교,N,N,Y,N,N,Y,37.509263,126.910801,TW
1,서울특별시,영등포구,영등포역 횡단 보도육교,Y,N,N,N,N,N,37.513895,126.903695,A
2,서울특별시,영등포구,문래 보도육교,Y,N,N,N,N,N,37.520246,126.882018,A
3,서울특별시,영등포구,양평1 보도육교,Y,N,N,N,N,N,37.526193,126.883081,A
4,서울특별시,영등포구,양평2 보도육교,Y,N,N,N,N,N,37.533447,126.891821,A
5,서울특별시,영등포구,도림 보도육교,N,N,N,N,Y,N,37.508955,126.892771,E
6,서울특별시,영등포구,선유도 기존보도육교,Y,N,N,N,N,N,37.541546,126.895135,A
7,경상남도,김해시,지방도1042호선 보도육교,Y,N,N,N,N,N,35.2369036,128.8378556,A
8,경상남도,거제시,고현초 통학육교,N,N,N,N,N,N,34.87372391,128.6288323,Z
9,경상남도,거제시,신현중뒤 육교,N,Y,N,N,N,N,34.88860912,128.6167069,B
10,경상남도,거제시,양정육교,N,N,N,N,N,N,34.89197665,128.6358539,Z
11,경상남도,거제시,옥포육교,N,N,N,N,N,N,34.88722536,128.6931115,Z
12,경상남도,거제시,장평육교,Y,N,N,N,N,N,34.88944152,128.6094016,A
13,경상남도,거제시,중곡동육교,Y,N,N,N,N,N,34.89303358,128.6302802,A
14,경기도,부천시,중흥보도육교,Y,N,N,N,N,N,37.50573381,126.7758799,A
15,대구광역시,북구,한강육교,N,Y,N,N,N,N,35.896916,128.513164,B
16,경상북도,영천시,동부초교 보도육교,N,N,N,N,N,N,35.97821931,128.9601124,Z
17,경상북도,영천시,단포초교 보도육교,N,N,N,N,N,N,35.9810174,128.97484,Z
18,인천광역시,동구,장천리보도육교,N,N,N,N,N,N,37.47039456,126.6390423,Z
19,인천광역시,남동구,주원철도,Y,N,N,N,N,N,37.464795,126.698904,A
20,인천광역시,남동구,이화아파트,N,N,N,N,N,N,37.468139,126.6905935,Z
21,인천광역시,남동구,남동정수장,N,Y,N,N,N,N,37.45042788,126.7398942,B
22,인천광역시,남동구,남동관문교,N,Y,N,N,N,N,37.44730181,126.7347827,B
23,인천광역시,남동구,도림,N,Y,N,N,N,N,37.421407,126.729529,B
24,인천광역시,남동구,논현1택지,N,Y,N,N,N,N,37.40983956,126.7134086,B
25,인천광역시,남동구,운연동 육교,N,Y,N,N,N,N,37.44354495,126.7656959,B
26,인천광역시,남동구,신월초교,N,Y,N,N,N,N,37.449083,126.723996,B
27,인천광역시,남동구,논현2택지1보도육교,N,Y,N,N,N,N,37.40399921,126.7227649,B
28,인천광역시,남동구,논현(소래초),N,Y,N,N,N,N,37.40554215,126.7362082,B
29,,,양동보도육교,N,N,N,N,N,N,37.41962621,127.7550837,Z
30,인천광역시,남동구,논현택지2보도육교,Y,N,N,N,N,N,37.40360418,126.7088091,A
31,인천광역시,남동구,해안도로,Y,N,N,N,N,N,37.384457,126.7052872,A
32,인천광역시,남동구,승기천 횡단,N,N,N,N,N,N,37.4109351,126.6894333,Z
33,부산광역시,해운대구,세상2보도교,N,N,N,N,N,N,35.17074922,129.1794054,Z
34,부산광역시,해운대구,세상1보도교,N,N,N,N,N,N,35.17309632,129.175166,Z
35,부산광역시,해운대구,중앙보도교,N,Y,N,N,N,N,35.17764981,129.1684825,B
36,부산광역시,해운대구,해강초등육교,N,N,N,N,N,N,35.16426707,129.1345476,Z
37,부산광역시,해운대구,무지개다리,N,N,N,N,N,N,35.17536901,129.1690365,Z
38,부산광역시,해운대구,춘천1 보도교,N,N,N,N,N,N,35.17782916,129.1685312,Z
39,부산광역시,해운대구,춘천2 보도교,N,N,N,N,N,N,35.17538631,129.1680712,Z
40,부산광역시,해운대구,나무를 타는 아이,Y,N,N,N,N,N,35.16557349,129.1381373,A
41,인천광역시,서구,문화회관보도육교,N,Y,N,N,N,N,37.515017,126.6799321,B
42,인천광역시,서구,한신빌리지보도육교,N,Y,N,N,N,N,37.520034,126.681253,B
43,인천광역시,서구,백석초교앞보도육교,N,N,N,N,N,N,37.577733,126.675285,Z
44,인천광역시,서구,당하보도육교,N,Y,N,N,N,N,37.594599,126.687675,B
45,인천광역시,서구,원당보도육교,N,Y,N,N,N,N,37.592208,126.704381,B
46,인천광역시,서구,검단초교앞보도육교,N,Y,N,N,N,N,37.609398,126.670269,B
47,인천광역시,서구,충민교,Y,Y,N,N,N,N,37.53603023,126.6548661,TW
48,인천광역시,서구,장경교,Y,Y,N,N,N,N,37.529964,126.654881,TW
49,인천광역시,서구,장숙교,Y,Y,N,N,N,N,37.536123,126.642651,TW
50,강원도,강릉시,교동택지육교,N,Y,N,N,N,N,37.76463753,128.8769489,B
51,강원도,강릉시,유천육교,N,N,Y,N,N,N,37.76001124,128.8711276,C
52,경상남도,김해시,구산동 보도육교,Y,N,N,N,N,N,35.252044,128.867447,A
53,경상남도,김해시,조은금강병원앞 보도육교,Y,N,N,N,N,N,35.264838,128.863084,A
54,경상남도,김해시,부영6차아파트앞 보도육교,Y,N,N,N,N,N,35.260544,128.865325,A
55,경상남도,김해시,우암초등학교앞 보도육교,Y,N,N,N,N,N,35.24435875,128.8642617,A
56,경상남도,김해시,금산초등학교앞 보도육교,N,N,N,N,N,N,35.29172115,128.7078957,Z
57,인천광역시,서구,건지보도육교,N,Y,N,N,N,N,37.491498,126.675333,B
58,인천광역시,서구,가좌보도육교,N,Y,N,N,N,N,37.495707,126.675578,B
59,인천광역시,서구,거북시장보도육교,N,Y,N,N,N,N,37.503022,126.676031,B
60,인천광역시,서구,석남보도육교,N,Y,N,N,N,N,37.509741,126.676415,B
61,인천광역시,서구,네개동보도육교,N,Y,N,N,N,N,37.513385,126.676626,B
62,인천광역시,서구,콜롬비아보도육교,N,Y,N,N,N,N,37.517452,126.677363,B
63,인천광역시,서구,서인천IC보도육교,N,Y,N,N,N,N,37.522883,126.684063,B
64,인천광역시,서구,원적산터널보도육교,N,Y,N,N,N,N,37.505917,126.678566,B
65,경기도,광주시,곤지암육교,N,N,N,N,N,N,37.347185,127.348506,Z
66,경기도,광주시,삼동역육교,N,N,N,N,N,N,37.409177,127.204865,Z
67,전라북도,완주군,상관육교,N,N,N,N,N,N,35.71448682,127.2363649,Z
68,전라북도,완주군,용진육교,N,N,N,N,N,N,35.90540522,127.1568122,Z
69,전라북도,완주군,소양육교,N,N,N,N,N,N,35.85608006,127.2557269,Z
70,전라북도,완주군,은하육교,N,N,N,N,N,N,35.95522667,127.1437354,Z
71,전라북도,완주군,봉동육교,N,N,N,N,N,N,35.93817305,127.1601888,Z
72,전라북도,완주군,석전육교,N,N,N,N,N,N,35.92108775,127.1044345,Z
73,전라북도,완주군,갈산하늘다리(보도육교),Y,N,N,N,N,N,35.8190696,127.0441221,A
74,경기도,수원시,호수공원육교,Y,Y,N,N,N,N,37.27831028,127.0681819,TW
75,경기도,수원시,수원역고가육교,N,N,N,N,N,N,37.26295993,127.0024333,Z
76,경기도,수원시,푸른숲육교,N,Y,N,N,N,N,37.26579489,126.9504993,B
77,경기도,수원시,참나래육교,N,Y,N,N,N,N,37.27202406,126.9457173,B
78,경기도,수원시,가온육교,N,Y,N,N,N,N,37.2736145,126.9444852,B
79,경기도,수원시,자전거횡단육교1,N,N,N,N,N,N,37.2769853,126.9490094,Z
80,경기도,수원시,자전거횡단육교2,N,N,N,N,N,N,37.26972344,126.9517635,Z
81,경기도,수원시,자전거횡단육교3,N,N,N,N,N,N,37.26014366,126.9520027,Z
82,경기도,수원시,달맞이육교,N,N,N,N,N,N,37.24469709,127.0194352,Z
83,경기도,수원시,서호육교,N,Y,N,N,N,N,37.28135952,126.9925868,B
84,경기도,수원시,정천정문육교,N,Y,N,N,N,N,37.2868358,126.9777941,B
85,경기도,수원시,정천후문육교,N,Y,N,N,N,N,37.2884214,126.9790385,B
86,경기도,수원시,애경육교,Y,N,N,N,N,N,37.2659137,127.0016871,A
87,경기도,수원시,효성육교,N,Y,N,N,N,N,37.28347335,127.0393624,B
88,경기도,수원시,창룡육교,N,Y,N,N,N,N,37.28720316,127.0269927,B
89,경기도,수원시,청소년육교,N,Y,N,N,N,N,37.2739591,127.0371102,B
90,경기도,수원시,인도래교,N,Y,N,N,N,N,37.26931703,127.034412,B
