철도운영기관명,운영노선명,역명,승강기 상태,엘리베이터 수
공항철도,공항철도선,검암,운행,4
공항철도,공항철도선,계양,운행,2
공항철도,공항철도선,공덕,운행,6
공항철도,공항철도선,공항화물청사,운행,3
공항철도,공항철도선,김포공항,미운행,1
공항철도,공항철도선,김포공항,운행,5
공항철도,공항철도선,디지털미디어시티,운행,7
공항철도,공항철도선,마곡나루,운행,7
공항철도,공항철도선,서울역,운행,10
공항철도,공항철도선,영종,운행,4
공항철도,공항철도선,운서,운행,2
공항철도,공항철도선,인천공항1터미널,미운행,1
공항철도,공항철도선,인천공항1터미널,운행,3
공항철도,공항철도선,인천공항2터미널,미운행,1
공항철도,공항철도선,인천공항2터미널,운행,6
공항철도,공항철도선,청라국제도시,운행,2
공항철도,공항철도선,홍대입구,운행,6
광주도시철도,1호선,공항,운행,5
광주도시철도,1호선,광주송정,운행,4
광주도시철도,1호선,금남로4가,운행,2
광주도시철도,1호선,금남로5가,운행,3
광주도시철도,1호선,김대중컨벤션센터,운행,5
광주도시철도,1호선,남광주,운행,3
광주도시철도,1호선,농성,운행,5
광주도시철도,1호선,도산,운행,5
광주도시철도,1호선,돌고개,운행,3
광주도시철도,1호선,문화전당,운행,5
광주도시철도,1호선,상무,운행,3
광주도시철도,1호선,소태,운행,3
광주도시철도,1호선,송정공원,운행,4
광주도시철도,1호선,쌍촌,운행,2
광주도시철도,1호선,양동시장,운행,2
광주도시철도,1호선,운천,운행,2
광주도시철도,1호선,평동,운행,2
광주도시철도,1호선,학동증심사입구,운행,2
광주도시철도,1호선,화정,운행,2
김포골드라인,김포골드라인,걸포북변,운행,1
김포골드라인,김포골드라인,고촌,운행,1
김포골드라인,김포골드라인,구래,운행,1
김포골드라인,김포골드라인,김포공항,운행,1
김포골드라인,김포골드라인,마산,운행,1
김포골드라인,김포골드라인,사우,운행,1
김포골드라인,김포골드라인,양촌,운행,1
김포골드라인,김포골드라인,운양,운행,1
김포골드라인,김포골드라인,장기,운행,1
김포골드라인,김포골드라인,풍무,운행,1
남서울경전철,신림선,관악산,미운행,1
남서울경전철,신림선,관악산,운행,2
남서울경전철,신림선,당곡,운행,4
남서울경전철,신림선,대방,운행,4
남서울경전철,신림선,보라매,운행,3
남서울경전철,신림선,보라매공원,운행,4
남서울경전철,신림선,보라매병원,운행,4
남서울경전철,신림선,샛강,운행,2
남서울경전철,신림선,서울대벤처타운,운행,3
남서울경전철,신림선,서울지방병무청,운행,4
남서울경전철,신림선,서원,운행,3
남서울경전철,신림선,신림,운행,1
남양주도시공사,4호선,진접,운행,6
남양주도시공사,진접선,별내별가람,운행,5
남양주도시공사,진접선,오남,운행,4
대구도시철도,1호선,각산,운행,4
대구도시철도,1호선,교대,운행,4
대구도시철도,1호선,대곡,운행,2
대구도시철도,1호선,대구역,운행,2
대구도시철도,1호선,대명,운행,4
대구도시철도,1호선,동구청,운행,4
대구도시철도,1호선,동대구역,운행,4
대구도시철도,1호선,동촌,운행,3
대구도시철도,1호선,명덕,운행,3
대구도시철도,1호선,반야월,운행,4
대구도시철도,1호선,반월당,운행,4
대구도시철도,1호선,방촌,운행,4
대구도시철도,1호선,상인,운행,4
대구도시철도,1호선,서부정류장,운행,3
대구도시철도,1호선,설화명곡,운행,4
대구도시철도,1호선,송현,운행,4
대구도시철도,1호선,신기,운행,4
대구도시철도,1호선,신천,운행,4
대구도시철도,1호선,아양교,운행,3
대구도시철도,1호선,안심,운행,3
대구도시철도,1호선,안지랑,운행,4
대구도시철도,1호선,영대병원,운행,3
대구도시철도,1호선,용계,운행,3
대구도시철도,1호선,월배,운행,4
대구도시철도,1호선,월촌,운행,4
대구도시철도,1호선,율하,운행,5
대구도시철도,1호선,중앙로,운행,4
대구도시철도,1호선,진천,운행,4
대구도시철도,1호선,칠성시장,운행,3
대구도시철도,1호선,해안,운행,4
대구도시철도,1호선,현충로,운행,4
대구도시철도,1호선,화원,운행,4
대구도시철도,2호선,감삼,운행,3
대구도시철도,2호선,강창,운행,4
대구도시철도,2호선,경대병원,운행,3
대구도시철도,2호선,계명대,운행,4
대구도시철도,2호선,고산,운행,3
대구도시철도,2호선,내당,운행,3
대구도시철도,2호선,다사,운행,4
대구도시철도,2호선,담티,운행,2
대구도시철도,2호선,대공원,운행,6
대구도시철도,2호선,대구은행,운행,2
대구도시철도,2호선,대실,운행,4
대구도시철도,2호선,두류,운행,1
대구도시철도,2호선,만촌,운행,2
대구도시철도,2호선,문양,운행,2
대구도시철도,2호선,반고개,운행,2
