년,합계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2012,12.8,25.2,9.1,10.1,5.8,8.8,13.7,9.9,0.0,8.8,21.1,16.1,2.1,5.1,5.4,2.1,18.7,0.0
2013,16.4,28.5,13.1,12.2,10.4,12.5,17.4,11.9,0.0,12.0,27.9,18.7,6.9,8.5,7.9,4.1,25.1,6.0
2014,18.5,32.5,15.9,17.1,12.5,13.5,21.0,13.4,0.0,12.6,30.0,20.2,7.7,12.5,8.7,5.5,25.1,6.0
2015,20.7,35.2,18.5,21.8,14.1,17.8,25.0,14.9,0.0,13.8,32.5,22.4,9.4,17.4,10.9,8.9,25.2,6.0
2016,22.3,40.4,20.5,29.7,15.3,21.2,27.4,14.7,29.0,13.3,34.3,22.7,9.0,21.2,12.5,11.7,23.6,5.2
2017,22.4,43.6,21.0,31.1,16.1,19.2,24.1,12.6,24.5,13.3,28.7,22.2,7.2,17.5,10.9,10.3,20.3,17.4
2018,23.4,45.0,22.2,34.6,17.1,20.5,27.5,11.6,23.0,12.7,34.8,20.8,7.0,22.0,11.8,13.9,18.7,22.6
2019,26.5,53.9,25.6,34.1,20.1,20.8,28.8,12.2,23.5,13.6,34.7,20.9,9.3,22.7,13.6,15.2,21.8,26.8
2020,27.8,57.8,27.3,34.9,22.7,25.0,31.3,12.3,27.9,14.1,14.1,20.1,10.0,23.5,11.5,16.2,23.6,32.9
2021,30.6,59.7,28.9,37.5,26.3,29.7,33.4,12.1,37.3,19.2,39.7,21.5,9.9,22.9,16.8,17.3,25.2,17.8
