시도명,시군구명,도로노선명,신호등구분,위도,경도,보행자작동신호기유무,시각장애인용음향신호기유무
충청남도,아산시,인주-행정선,2,36.7683762412,126.943406356,Y,N
충청남도,아산시,인주-행정선,2,36.768269218,126.943373874,Y,N
충청남도,아산시,삼성로,2,36.8089191758,127.062223653,Y,N
경기도,하남시,미사강변대로,2,37.550608,127.186059,Y,Y
경기도,오산시,가장로,2,37.15875692,127.0527509,Y,N
경기도,오산시,궐리사로,2,37.15895665,127.0595632,Y,N
경기도,오산시,궐리사로,2,37.15895665,127.0595632,Y,N
경기도,오산시,궐리사로,2,37.15895665,127.0595632,Y,N
경기도,오산시,궐리사로,2,37.15895665,127.0595632,Y,N
경기도,오산시,궐리사로,2,37.15895665,127.0595632,Y,N
경기도,오산시,궐리사로,2,37.15895665,127.0595632,Y,N
경기도,오산시,궐리사로,2,37.15895665,127.0595632,Y,N
경기도,오산시,궐리사로,2,37.15895665,127.0595632,Y,N
경기도,오산시,궐리사로,2,37.15895665,127.0595632,Y,N
경기도,오산시,궐리사로,2,37.15895665,127.0595632,Y,N
경기도,오산시,궐리사로,2,37.15895665,127.0595632,Y,N
경기도,오산시,궐리사로,2,37.16042089,127.0571133,Y,Y
경기도,오산시,운암로,2,37.15100607,127.076336,Y,N
경기도,오산시,성호대로,2,37.14885003,127.0753504,Y,N
경기도,오산시,운암로,2,37.14885003,127.0753504,Y,N
경기도,오산시,동부대로,2,37.15062019,127.0791154,Y,N
경기도,오산시,동부대로,2,37.15062019,127.0791154,Y,N
경기도,오산시,동부대로,2,37.15062019,127.0791154,Y,N
경기도,오산시,운암로,2,37.15100607,127.076336,Y,N
경기도,오산시,운암로,2,37.15100607,127.076336,Y,N
경기도,오산시,운암로,2,37.15100607,127.076336,Y,N
경기도,오산시,운암로,2,37.15100607,127.076336,Y,N
경기도,오산시,운암로,2,37.15100607,127.076336,Y,N
경기도,오산시,운암로,2,37.15100607,127.076336,Y,N
경기도,오산시,운암로,2,37.15100607,127.076336,Y,N
경기도,오산시,운암로,2,37.15100607,127.076336,Y,N
경기도,오산시,운암로,2,37.15100607,127.076321,Y,N
경기도,오산시,운암로,2,37.1561135,127.0782457,Y,N
경기도,오산시,운암로,2,37.1561135,127.0782457,Y,N
경기도,오산시,운암로,2,37.15127166,127.0745862,Y,N
경기도,오산시,운암로,2,37.15127166,127.0745862,Y,N
경기도,오산시,경기동로,2,37.15793034,127.0764307,Y,N
경기도,오산시,운암로,2,37.1561135,127.0782457,Y,N
경기도,오산시,운암로,2,37.1561135,127.0782457,Y,N
경기도,오산시,현충로,2,37.15939058,127.0784648,Y,N
경기도,오산시,현충로,2,37.1599594,127.0780564,Y,N
경기도,오산시,운암로,2,37.1561135,127.0782457,Y,N
경기도,오산시,운암로,2,37.1561135,127.0782457,Y,N
경기도,오산시,운암로,2,37.1561135,127.0782518,Y,N
경기도,오산시,운천로,2,37.15505533,127.0748407,Y,N
경기도,오산시,운천로,2,37.15505533,127.0748407,Y,N
경기도,오산시,운암로,2,37.15505533,127.0748407,Y,N
경기도,오산시,경기대로,2,37.15618577,127.0725934,Y,N
경기도,오산시,경기대로,2,37.15618577,127.0725934,Y,N
경기도,오산시,경기동로,2,37.15661283,127.0744076,Y,N
경기도,오산시,경기동로,2,37.15661283,127.0744076,Y,N
경기도,오산시,경기동로,2,37.15793034,127.0764307,Y,N
경기도,오산시,경기동로,2,37.15793034,127.0764307,Y,N
경기도,오산시,경기동로,2,37.15793034,127.0764307,Y,N
경기도,오산시,경기대로,2,37.15130161,127.0736985,Y,N
경기도,오산시,경기대로,2,37.15130161,127.0736985,Y,N
경기도,오산시,경기대로,2,37.15440369,127.073411,Y,N
경기도,오산시,경기대로,2,37.15440369,127.073411,Y,N
경기도,오산시,경기대로,2,37.15553644,127.0729273,Y,N
경기도,오산시,경기대로,2,37.15553644,127.0729273,Y,N
경기도,오산시,오산천로,2,37.15582865,127.0725642,Y,N
경기도,오산시,오산천로,2,37.15582865,127.0725642,Y,N
경기도,오산시,경기동로,2,37.1559326,127.0729658,Y,N
경기도,오산시,경기동로,2,37.1559326,127.0729658,Y,N
경기도,오산시,성호대로,2,37.15130161,127.0736985,Y,N
경기도,오산시,성호대로,2,37.15130161,127.0736985,Y,N
경기도,오산시,경기대로,2,37.15130161,127.0736985,Y,N
경기도,오산시,경기대로,2,37.15130161,127.0736985,Y,N
경기도,오산시,경기대로,2,37.15130161,127.0736985,Y,N
경기도,오산시,경기대로,2,37.15130161,127.0736375,Y,N
경기도,오산시,오산로,2,37.1465367,127.0680791,Y,N
경기도,오산시,오산로,2,37.1465367,127.0680791,Y,N
경기도,오산시,대원로,2,37.14761021,127.0684737,Y,N
경기도,오산시,오산로,2,37.1466931,127.0684907,Y,N
경기도,오산시,오산로,2,37.14761021,127.0684907,Y,N
경기도,오산시,오산로,2,37.15130161,127.0736985,Y,N
경기도,오산시,오산로,2,37.15130161,127.0736985,Y,N
경기도,오산시,성호대로,2,37.15130161,127.0736985,Y,N
경기도,오산시,성호대로,2,37.15130161,127.0736985,Y,N
경기도,오산시,성호대로,2,37.1493065,127.065271,Y,N
경기도,오산시,성호대로,2,37.1493065,127.065271,Y,N
경기도,오산시,성호대로,2,37.14939512,127.064572,Y,N
경기도,오산시,성호대로,2,37.14939512,127.064572,Y,N
경기도,오산시,동부대로,2,37.15062019,127.0791154,Y,N
경기도,오산시,오산로,2,37.14303618,127.0685066,Y,N
경기도,오산시,역광장로,2,37.14303618,127.0685066,Y,N
경기도,오산시,역광장로,2,37.14303618,127.0685066,Y,N
경기도,오산시,역광장로,2,37.14303618,127.0685066,Y,N
경기도,오산시,역광장로,2,37.14303618,127.0685066,Y,N
경기도,오산시,역광장로,2,37.14545672,127.0676948,Y,N
경기도,오산시,역광장로,2,37.14545672,127.0676948,Y,N
경기도,오산시,역광장로,2,37.14589518,127.0668449,Y,N
경기도,오산시,역광장로,2,37.14589518,127.0668449,Y,N
경기도,오산시,오산로,2,37.14303618,127.0685066,Y,N
경기도,오산시,오산로,2,37.14668214,127.0684215,Y,N
경기도,오산시,궐리사로,2,37.16042089,127.0571133,Y,Y
경기도,오산시,남부대로,2,37.1358396,127.0687192,Y,N
경기도,오산시,남부대로,2,37.1358396,127.0687192,Y,N
경기도,오산시,남부대로,2,37.13387583,127.0834219,Y,N
경기도,오산시,남부대로,2,37.13387583,127.0834219,Y,N
경기도,오산시,동부대로,2,37.13343424,127.0782876,Y,N
경기도,오산시,동부대로,2,37.13343424,127.0782876,Y,N
경기도,오산시,남부대로,2,37.12989833,127.0828617,Y,N
경기도,오산시,남부대로,2,37.12989833,127.0828617,Y,N
경기도,오산시,남부대로,2,37.13271038,127.0853656,Y,N
경기도,오산시,남부대로,2,37.13271038,127.0853656,Y,N
경기도,오산시,남부대로,2,37.13185801,127.0866164,Y,N
경기도,오산시,남부대로,2,37.13363302,127.084029,Y,N
경기도,오산시,남부대로,2,37.13363302,127.084029,Y,N
경기도,오산시,남부대로,2,37.13387583,127.0834219,Y,N
경기도,오산시,남부대로,2,37.13387583,127.0834219,Y,N
경기도,오산시,남부대로,2,37.13387583,127.0834219,Y,N
경기도,오산시,남부대로,2,37.13387583,127.0834219,Y,N
경기도,오산시,남부대로,2,37.13434198,127.0819683,Y,N
경기도,오산시,남부대로,2,37.13434198,127.0819683,Y,N
경기도,오산시,남부대로,2,37.12924559,127.089204,Y,N
경기도,오산시,남부대로,2,37.12924559,127.089204,Y,N
경기도,오산시,남부대로,2,37.13042717,127.0888877,Y,N
경기도,오산시,남부대로,2,37.13042717,127.0888877,Y,N
경기도,오산시,남부대로,2,37.13185801,127.0866164,Y,N
경기도,오산시,남부대로,2,37.13059144,127.0862913,Y,N
경기도,오산시,남부대로,2,37.13059144,127.0862913,Y,N
경기도,오산시,남부대로,2,37.13185801,127.0866164,Y,N
경기도,오산시,남부대로,2,37.13185801,127.0866164,Y,N
경기도,오산시,동부대로,2,37.12741671,127.0793528,Y,N
경기도,오산시,동부대로,2,37.13231194,127.0782497,Y,N
경기도,오산시,동부대로,2,37.13231194,127.0782497,Y,N
경기도,오산시,동부대로,2,37.12741671,127.0793528,Y,N
경기도,오산시,경기대로,2,37.12888629,127.0703373,Y,N
경기도,오산시,경기대로,2,37.12888629,127.0703373,Y,N
경기도,오산시,오산로,2,37.12941759,127.0675783,Y,N
경기도,오산시,오산로,2,37.12941759,127.0675783,Y,N
경기도,오산시,오산로,2,37.13283098,127.0690789,Y,N
경기도,오산시,오산로,2,37.13283098,127.0690789,Y,N
경기도,오산시,현충로,2,37.16165598,127.0757532,Y,N
경기도,오산시,현충로,2,37.16165598,127.0757532,Y,N
경기도,오산시,남부대로,2,37.13415102,127.0541957,Y,N
경기도,오산시,남부대로,2,37.1341687,127.0541957,Y,N
경기도,오산시,운천로,2,37.15127166,127.0745862,Y,N
