역명,미운행,운행
가야,0,4
감전,0,4
강서구청,0,3
개금,0,4
거제,0,6
경성대부경대,0,4
고촌,0,3
광안,0,5
괴정,0,4
교대,0,5
구남,0,4
구명,0,4
구서,0,2
구포,0,3
국제금융센터부산은행,0,3
금곡,0,2
금련산,0,4
금사,0,3
낙민,0,3
남산,0,4
남산정,0,4
남양산,0,4
남천,0,4
남포,0,4
낫개,0,5
냉정,0,5
노포,0,2
다대포항,0,5
다대포해수욕장,0,6
당리,0,5
대연,0,3
대저,0,2
대티,0,3
덕천,0,7
덕포,0,4
동대신,0,4
동래,0,6
동매,0,10
동백,0,4
동원,0,2
동의대,0,5
두실,0,4
만덕,0,7
망미,0,6
명륜,0,1
명장,0,4
모덕,0,3
모라,0,4
못골,0,4
문현,0,4
물만골,0,4
미남,0,7
민락,0,4
반여농산물시장,0,3
배산,0,6
범내골,0,6
범어사,0,4
범일,0,4
벡스코,0,7
부산,0,4
부산대,0,2
부산대양산캠퍼스,0,4
부산진,0,4
부암,0,4
부전,0,4
사상,0,4
사직,0,4
사하,0,4
서대신,0,3
서동,0,4
서면,0,9
석대,0,1
센텀시티,0,6
수안,0,5
수영,0,4
수정,0,4
숙등,0,4
시청,0,4
신장림,0,4
신평,0,4
안평,0,3
양산,0,4
양정,0,6
연산,0,6
영산대,0,3
온천장,0,1
윗반송,0,3
율리,0,4
자갈치,0,4
장림,0,4
장산,0,3
장전,0,2
전포,0,4
종합운동장,0,5
좌천,0,4
주례,0,4
중동,0,6
중앙,0,4
증산,0,2
지게골,0,4
체육공원,0,3
초량,0,4
충렬사,0,4
토성,0,4
하단,0,5
해운대,0,4
호포,1,2
화명,0,4
