육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
신현중뒤 육교,일반국도,14호선,서문로1길,경상남도 거제시 서문로1길 17,34.88860912,128.6167069,31.7,,,4.8,3.0,,,Y,경사로,,,,1998-01-01, ,양호,제한없음,,정기점검,2022-10-11,경상남도 거제시청 도로과,2022-12-01,5370000,경상남도 거제시
한강육교,시도,2-266호선,한강로,대구광역시 북구 사수동 987,35.896916,128.513164,32.0,5.0,,4.5,4.0,,,Y,경사로,,없음,0.0,2013-07-31, ,양호,제한없음,,정기점검,2022-06-24,대구광역시 북구청,2022-10-28,3450000,대구광역시 북구
남동정수장,일반국도,42호,백범로,인천광역시 남동구 담방로 105,37.45042788,126.7398942,43.6,,,4.8,4.0,,,Y,경사로,1.0,,,1996-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
남동관문교,시도,,인주대로,인천광역시 남동구 소래로 652,37.44730181,126.7347827,118.0,,,4.7,4.0,,,Y,경사로,1.0,,,1997-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
도림,시도,,비류대로,인천광역시 남동구 도리미로 1번길,37.421407,126.729529,43.3,,,5.0,4.0,,,Y,경사로,1.0,,,1998-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
논현1택지,시도,,호구포로,인천광역시 남동구 호구포로 294,37.40983956,126.7134086,39.8,,,5.0,6.0,,,Y,경사로,1.0,,,1998-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
운연동 육교,일반국도,42호,수인로,인천광역시 남동구 수인로 3548,37.44354495,126.7656959,30.5,,,4.8,4.0,,,Y,경사로,1.0,,,2000-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
신월초교,시도,,인주대로,인천광역시 인주대로 781,37.449083,126.723996,29.5,,,5.2,4.0,,,Y,경사로,1.0,,,2003-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
논현2택지1보도육교,시도,,은봉로,인천광역시 남동구 은봉로 288,37.40399921,126.7227649,130.0,,,4.5,4.0,,,Y,경사로,1.0,,,2006-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
논현(소래초),시도,,청능대로,인천광역시 남동구 청능대로 718번길 31,37.40554215,126.7362082,150.0,,,4.5,2.8,,,Y,경사로,1.0,,,2007-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
중앙보도교,시도,,양운로,부산광역시 해운대구 양운로 176,35.17764981,129.1684825,31.5,,,5.0,4.9,,,Y,경사로,,,,1996-01-01,N,양호,제한없음,,정기점검,2022-07-08,부산광역시 해운대구,2022-11-18,3330000,부산광역시 해운대구
문화회관보도육교,구도,,서달로,인천광역시 서구 서달로 190,37.515017,126.6799321,17.0,5.0,,5.2,4.0,2.0,14.0,Y,경사로,2.0,N,0.0,1998-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
한신빌리지보도육교,시도,,서곶로,인천광역시 서구 서곶로 12,37.520034,126.681253,19.0,5.0,,5.0,4.0,1.5,10.0,Y,경사로,2.0,N,0.0,1998-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
당하보도육교,시도,,원당대로,인천광역시 서구 마전동 산 196-7,37.594599,126.687675,33.0,5.0,,4.6,6.0,2.0,13.0,Y,경사로,2.0,N,0.0,2005-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
원당보도육교,시도,,원당대로,인천광역시 서구 당하동 314-7,37.592208,126.704381,32.0,5.0,,4.5,4.0,1.5,3.0,Y,경사로,2.0,N,0.0,2006-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
검단초교앞보도육교,시도,,검단로,인천광역시 서구 마전동 316-5,37.609398,126.670269,31.0,5.0,,4.5,3.0,1.5,14.0,Y,경사로,2.0,N,0.0,2006-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
충민교,시도,,경제로,인천광역시 서구 청라동 112-34,37.53603023,126.6548661,71.6,5.5,,4.5,8.1,1.5,140.0,Y,엘리베이터+경사로,3.0,N,0.0,2012-06-30,Y,보통,제한없음,,정밀점검,2019-06-18,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
장경교,시도,,청중로,인천광역시 서구 청라라임로16번길18,37.529964,126.654881,83.4,5.5,,4.5,8.1,1.5,208.0,Y,엘리베이터+경사로,3.0,N,0.0,2012-06-30,Y,보통,제한없음,,정밀점검,2019-06-18,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
장숙교,시도,,경제로,인천광역시 서구 청라루미로134번길 6-32,37.536123,126.642651,40.0,5.5,,4.5,7.8,1.5,154.0,Y,엘리베이터+경사로,3.0,N,0.0,2012-06-30,Y,보통,제한없음,,정밀점검,2019-06-18,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
교동택지육교,시도,,교동광장로,강원도 강릉시 교동 1916,37.76463753,128.8769489,73.0,7.2,,4.3,5.0,1.2,,Y,경사로,,,,,N,양호,제한없음,,정기점검,2022-05-12,강원도 강릉시청,2022-12-05,4200000,강원도 강릉시
건지보도육교,시도,,인천대로,인천광역시 서구 가석로 54,37.491498,126.675333,152.0,5.6,,5.5,4.0,2.0,11.0,Y,경사로,2.0,N,0.0,2003-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
가좌보도육교,시도,,인천대로,인천광역시 서구 가석로126번안길 2,37.495707,126.675578,90.0,5.6,,4.7,4.0,2.0,4.0,Y,경사로,2.0,N,0.0,1996-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
거북시장보도육교,시도,,인천대로,인천광역시 서구 가석로 206,37.503022,126.676031,74.0,5.6,,5.3,4.0,2.0,66.0,Y,경사로,2.0,N,0.0,1998-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
석남보도육교,시도,,인천대로,인천광역시 서구 가석로 257,37.509741,126.676415,52.5,5.6,,4.6,5.0,2.0,3.0,Y,경사로,2.0,N,0.0,1991-07-31,N,미흡,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
네개동보도육교,시도,,인천대로,인천광역시 서구 서달로 163,37.513385,126.676626,63.0,5.6,,5.6,4.0,2.0,13.0,Y,경사로,2.0,N,0.0,1996-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
콜롬비아보도육교,시도,,인천대로,인천광역시 서구 가석로 368,37.517452,126.677363,49.0,5.6,,5.1,6.0,2.0,11.0,Y,경사로,2.0,N,0.0,1992-07-31,N,미흡,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
서인천IC보도육교,시도,,인천대로,인천광역시 서구 서곶로 12,37.522883,126.684063,108.0,5.6,,6.1,4.0,2.0,,Y,경사로,2.0,N,0.0,1992-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
