육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
영등포역 횡단 보도육교,기타,없음,경인선,서울특별시 영등포구 경인로94길 7,37.513895,126.903695,83.0,,0.5,5.6,3.2,1.8,14.0,Y,엘리베이터,,,,1974-12-01, ,보통,제한없음,,정기점검,2022-04-16,서울특별시 영등포구청,2022-07-04,3180000,서울특별시 영등포구
문래 보도육교,시도,245,서부간선도로,서울특별시 영등포구 문래로4길 4,37.520246,126.882018,40.0,5.1,0.5,4.5,4.0,1.2,,Y,엘리베이터,,,,2006-06-30,Y,양호,제한없음,,정기점검,2022-04-16,서울특별시 영등포구청,2022-07-04,3180000,서울특별시 영등포구
양평1 보도육교,시도,245,서부간선도로,서울특별시 영등포구 양산로 3,37.526193,126.883081,43.0,5.7,0.5,4.5,4.0,1.2,,Y,엘리베이터,,,,2006-06-30,Y,양호,제한없음,,정기점검,2022-04-16,서울특별시 영등포구청,2022-07-04,3180000,서울특별시 영등포구
양평2 보도육교,시도,245,서부간선도로,서울특별시 영등포구 양평로21길 26,37.533447,126.891821,45.0,5.7,0.34,4.5,4.0,1.2,,Y,엘리베이터,,,,2006-06-30,Y,양호,제한없음,,정기점검,2022-04-16,서울특별시 영등포구청,2022-07-04,3180000,서울특별시 영등포구
선유도 기존보도육교,시도,199,"노들로, 올림픽대로",서울특별시 영등포구 양평로24길 36,37.541546,126.895135,108.0,,,4.5,4.0,1.0,5.0,Y,엘리베이터,,,,1978-11-30, ,양호,제한없음,,정기점검,2022-04-16,서울특별시 영등포구청,2022-07-04,3180000,서울특별시 영등포구
지방도1042호선 보도육교,지방도,1042호선,선천로,경상남도 김해시 주촌면 선천남로 16,35.2369036,128.8378556,48.0,,,4.5,3.0,,,Y,엘리베이터,,,,, ,양호,제한없음,,정기점검,2022-09-01,경상남도 김해시청,2022-11-18,5350000,경상남도 김해시
장평육교,일반국도,58호선,장평3로,경상남도 거제시 장평3로 10,34.88944152,128.6094016,104.5,,,4.5,2.5,,,Y,엘리베이터,,,,2008-01-01, ,보통,제한없음,,정기점검,2022-10-11,경상남도 거제시청 도로과,2022-12-01,5370000,경상남도 거제시
중곡동육교,일반국도,58호선,거제대로,경상남도 거제시 중곡로 3,34.89303358,128.6302802,43.7,,,4.7,4.0,,,Y,엘리베이터,,,,1998-01-01, ,보통,제한없음,,정기점검,2022-10-11,경상남도 거제시청 도로과,2022-12-01,5370000,경상남도 거제시
중흥보도육교,시도,,신흥로,경기도 부천시 신흥로 248,37.50573381,126.7758799,30.0,,,7.0,6.0,,,Y,엘리베이터,,,,1998-04-28, ,양호,제한없음,,정기점검,2021-12-21,경기도 부천시 도로관리과,2022-10-24,3860000,경기도 부천시
주원철도,구도,,석정로,인천광역시 남동구 석정로 566번길,37.464795,126.698904,30.0,,,4.5,5.0,,,Y,엘리베이터,1.0,,,1987-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
논현택지2보도육교,시도,,은봉로,인천광역시 남동구 논현로 17,37.40360418,126.7088091,92.0,,,4.5,4.0,,,Y,엘리베이터,1.0,,,2009-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
해안도로,구도,,아암대로,인천광역시 남동구 아암대로 1239,37.384457,126.7052872,80.0,,,4.5,3.0,,,Y,엘리베이터,1.0,,,2010-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
