시도명,시군구명,도로노선명,신호등구분,위도,경도,보행자작동신호기유무,시각장애인용음향신호기유무
경기도,의정부시,신흥로,2,37.7386018,127.0431399,N,Y
경기도,의정부시,시민로,2,37.7385251,127.0434717,N,Y
경기도,의정부시,신흥로,2,37.7381152,127.0434516,N,Y
경기도,의정부시,시민로,2,37.7385117,127.0430718,N,Y
경기도,의정부시,시민로,2,37.738167,127.0434857,N,Y
경기도,의정부시,신흥로,2,37.7385544,127.0433838,N,Y
경기도,하남시,천현로,2,37.5371322,127.2159723,N,Y
경기도,하남시,초광로,2,37.5376142,127.1705822,N,Y
경기도,하남시,대청로22번길,2,37.5382378,127.2173955,N,Y
경기도,하남시,덕풍동로,2,37.5430451,127.2071095,N,Y
경기도,하남시,미사강변한강로,2,37.5763599,127.1807571,N,Y
경기도,하남시,대청로22번길,2,37.5381932,127.2171634,N,Y
경기도,하남시,초광로,2,37.5376213,127.170322,N,Y
경기도,하남시,천현로,2,37.5369538,127.2161754,N,Y
경기도,하남시,천현로,2,37.5370999,127.2163908,N,Y
경기도,하남시,초광로,2,37.5289445,127.1734926,N,Y
경기도,하남시,초광로,2,37.5289398,127.1736397,N,Y
충청남도,아산시,온천대로,2,36.7813790438,127.003442878,N,Y
충청남도,아산시,탕정면로,2,36.7985971541,127.063405988,N,Y
충청남도,아산시,탕정면로,2,36.7987375337,127.06339807,N,Y
경기도,하남시,미사강변북로,2,37.5719351,127.1827769,N,Y
충청남도,아산시,이순신대로,2,36.797150753,127.04791976,N,Y
충청남도,아산시,번영로,2,36.7866591987,127.002234671,N,Y
충청남도,아산시,번영로,2,36.7865667703,127.0017603,N,Y
충청남도,아산시,시민로,2,36.7864204064,127.002061999,N,Y
충청남도,아산시,문화로,2,36.7905475114,127.007164747,N,Y
충청남도,아산시,충무로,2,36.7908323688,127.007359384,N,Y
충청남도,아산시,충무로,2,36.7904312241,127.007434423,N,Y
충청남도,아산시,문화로,2,36.7907139798,127.0076539,N,Y
충청남도,아산시,어의정로,2,36.7743626197,127.006064443,N,Y
충청남도,아산시,어의정로,2,36.7742311872,127.005608702,N,Y
충청남도,아산시,중앙도서관로,2,36.7741162723,127.005886993,N,Y
충청남도,아산시,온천대로,2,36.7811721415,127.004344685,N,Y
충청남도,아산시,외암로,2,36.7749424692,127.012533566,N,Y
충청남도,아산시,외암로,2,36.7746676547,127.012962965,N,Y
충청남도,아산시,어의정로,2,36.7747030816,127.012590464,N,Y
충청남도,아산시,어의정로,2,36.7748843203,127.012869603,N,Y
충청남도,아산시,탕정로,2,36.8061912643,127.049174705,N,Y
충청남도,아산시,탕정로,2,36.8092285171,127.052459156,N,Y
충청남도,아산시,탕정면로,2,36.8033705077,127.059484502,N,Y
충청남도,아산시,탕정면로,2,36.8032463211,127.059403008,N,Y
충청남도,아산시,삼성로,2,36.8035161226,127.059223152,N,Y
충청남도,아산시,삼성로,2,36.8033734053,127.059149084,N,Y
충청남도,아산시,삼성로,2,36.8032790743,127.059099987,N,Y
충청남도,아산시,탕정면로,2,36.8033716936,127.05940139,N,Y
충청남도,아산시,충무로,2,36.7815330134,127.0042882,N,Y
충청남도,아산시,외암로,2,36.7798735149,127.01014386,N,Y
충청남도,아산시,충무로,2,36.7816500752,127.004090303,N,Y
충청남도,아산시,온천대로,2,36.7811366496,127.00450601,N,Y
