년,합계(저상),서울특별시(저상),부산광역시(저상),대구광역시(저상),인천광역시(저상),광주광역시(저상),대전광역시(저상),울산광역시(저상),세종특별자치시(저상),경기도(저상),강원도(저상),충청북도(저상),충청남도(저상),전라북도(저상),전라남도(저상),경상북도(저상),경상남도(저상),제주특별자치도(저상)
2012,4215.0,1901.0,228.0,158.0,135.0,82.0,132.0,67.0,0.0,883.0,119.0,87.0,17.0,42.0,37.0,24.0,302.0,0.0
2013,5338.0,2147.0,329.0,203.0,240.0,116.0,168.0,80.0,0.0,1179.0,158.0,101.0,52.0,72.0,54.0,45.0,384.0,10.0
2014,6026.0,2445.0,399.0,283.0,288.0,126.0,203.0,90.0,0.0,1236.0,170.0,109.0,58.0,106.0,59.0,60.0,384.0,10.0
2015,6751.0,2653.0,464.0,362.0,326.0,166.0,241.0,100.0,0.0,1347.0,184.0,121.0,71.0,149.0,74.0,97.0,386.0,10.0
2016,7572.0,3005.0,516.0,451.0,356.0,212.0,264.0,107.0,40.0,1404.0,195.0,131.0,85.0,176.0,89.0,140.0,391.0,10.0
2017,7579.0,3110.0,528.0,473.0,374.0,200.0,245.0,93.0,45.0,1344.0,189.0,119.0,57.0,171.0,80.0,149.0,334.0,68.0
2018,8016.0,3332.0,560.0,526.0,400.0,213.0,279.0,96.0,54.0,1343.0,193.0,122.0,61.0,182.0,85.0,164.0,318.0,88.0
2019,9016.0,3945.0,638.0,546.0,469.0,215.0,289.0,101.0,66.0,1422.0,187.0,131.0,74.0,186.0,97.0,177.0,370.0,103.0
2020,9840.0,4272.0,687.0,565.0,528.0,261.0,318.0,104.0,68.0,1608.0,187.0,128.0,88.0,195.0,101.0,196.0,406.0,128.0
2021,10828.0,4412.0,728.0,608.0,580.0,297.0,339.0,103.0,100.0,2112.0,203.0,137.0,89.0,187.0,124.0,222.0,439.0,148.0
