,철도운영기관명,운영노선명,역명,(근접) 출입구번호,시작층(지상/지하),시작층(운행역층),시작층(상세위치),종료층(지상/지하),종료층(운행역층),종료층(상세위치),길이,폭,한계중량,승강기상태,승강기 일련번호,데이터 기준일자,참고사항
0,대전교통공사,1호선,중앙로,5,지하,1.0,(B1) 대합실,지상,1.0,(1F) 5번 출입구 앞,1150,800.0,225.0,운행,5900-106,20220531,
3,서울교통공사,1호선,서울역,,지하,2.0,(B2)내부 C 계단,지하,1.0,(B2)내부 C 계단,125,80.0,300.0,운행,1902-362,2022-05-31 00:00:00,
4,서울교통공사,1호선,신설동,,지상,1.0,(F1)6번 출입구,지하,1.0,(F1)6번 출입구,125,80.0,300.0,운행,1903-467,2022-05-31 00:00:00,
9,서울교통공사,1호선,청량리,,지하,2.0,(B2)제기동측 승강장,지하,1.0,(B2)제기동측 승강장,125,80.0,300.0,운행,1903-411,2022-05-31 00:00:00,
11,서울교통공사,2호선,한양대,,지상,1.0,(F1)섬식(외) 8-2,지상,2.0,(F1)섬식(외) 8-2,125,110.0,350.0,운행,1900-169,2022-05-31 00:00:00,
12,서울교통공사,2호선,용답,,지상,1.0,(F1)섬식(상) 1-4,지상,2.0,(F1)섬식(상) 1-4,125,80.0,300.0,운행,1900-168,2022-05-31 00:00:00,
19,서울교통공사,2호선,잠실,,지하,1.0,(B1)상가측 연결계단,지하,1.0,(B1)상가측 연결계단,125,80.0,300.0,운행,1901-593,2022-05-31 00:00:00,
20,서울교통공사,2호선,삼성,,지하,1.0,(B1) 코액스측 연결계단,지하,1.0,(B1) 코액스측 연결계단,125,80.0,300.0,운행,1901-463,2022-05-31 00:00:00,
21,서울교통공사,2호선,신정네거리,,지하,2.0,(B2)2번 계단,지하,3.0,(B2)2번 계단,125,80.0,300.0,운행,1902-885,2022-05-31 00:00:00,
23,서울교통공사,3호선,고속터미널,,지하,2.0,(B2)2층 대합실 중앙,지하,1.0,(B2)2층 대합실 중앙,125,80.0,300.0,운행,1900-502,2022-05-31 00:00:00,
24,서울교통공사,3호선,교대,,지하,1.0,"(B1)B1층 2,3호선 연결 계단",지하,1.0,"(B1)B1층 2,3호선 연결 계단",125,80.0,300.0,운행,1900-627,2022-05-31 00:00:00,
25,서울교통공사,4호선,상계,,지상,2.0,(F2)상행 3-1,지상,3.0,(F2)상행 3-1,125,110.0,300.0,운행,1901-032,2022-05-31 00:00:00,
27,서울교통공사,4호선,창동,,지상,2.0,(F2)2번출입구 1호선 연결통로,지상,3.0,(F2)2번출입구 1호선 연결통로,125,80.0,300.0,운행,1902-457,2022-05-31 00:00:00,
31,서울교통공사,4호선,동대문,,환승통로,,"(환승통로환승통로)1,4호선(환승통로)",환승통로,,"(환승통로환승통로)1,4호선(환승통로)",125,94.0,340.0,운행,1900-113,2022-05-31 00:00:00,
32,서울교통공사,4호선,이촌,,환승통로,,(환승통로환승통로)국철 연결통로,환승통로,,(환승통로환승통로)국철 연결통로,125,80.0,300.0,운행,1900-286,2022-05-31 00:00:00,
33,서울교통공사,4호선,사당,,지하,1.0,"(B1)2,4호선대합실연결통로",지하,1.0,"(B1)2,4호선대합실연결통로",125,80.0,300.0,운행,1903-972,2022-05-31 00:00:00,
34,서울교통공사S5,5호선,까치산,,지하,4.0,(B4)화곡방향 시/승-E/V(B5-B4),지하,5.0,(B4)화곡방향 시/승-E/V(B5-B4),125,80.0,300.0,운행,1901411,2022-05-31 00:00:00,
36,서울교통공사S5,5호선,영등포구청,,지하,2.0,(B2)환승통로(B4-B2),지하,4.0,(B2)환승통로(B4-B2),125,80.0,300.0,운행,1901375,2022-05-31 00:00:00,
37,서울교통공사S5,5호선,서대문,,지하,1.0,"(B1)#5,6출입구나가는통로",지하,1.0,"(B1)#5,6출입구나가는통로",125,80.0,300.0,운행,1900038,2022-05-31 00:00:00,
38,서울교통공사S5,5호선,종로3가,,지하,4.0,(B4)3환승계단(B5-B4),지하,5.0,(B4)3환승계단(B5-B4),125,80.0,300.0,운행,1900031,2022-05-31 00:00:00,
39,서울교통공사S5,5호선,답십리,,지하,1.0,(B1)B2대합실-B1화장실층,지하,1.0,(B1)B2대합실-B1화장실층,125,80.0,300.0,운행,1900294,2022-05-31 00:00:00,
40,서울교통공사S5,5호선,장한평,,지하,1.0,(B1)B2대합실-B1화장실층,지하,2.0,(B1)B2대합실-B1화장실층,125,80.0,300.0,운행,1903443,2022-05-31 00:00:00,
41,서울교통공사S5,5호선,광나루,,지하,1.0,(B1)B2대합실-B1화장실층,지하,2.0,(B1)B2대합실-B1화장실층,125,80.0,300.0,운행,1901002,2022-05-31 00:00:00,
42,서울교통공사S5,5호선,강동,,지하,3.0,(B3)상승시-대합실(B4-B3),지하,4.0,(B3)상승시-대합실(B4-B3),125,80.0,300.0,운행,1900-817,2022-05-31 00:00:00,
43,서울교통공사S5,5호선,상일동,,지하,1.0,(B1)고덕방향 시/승-대합실(B2-B1),지하,2.0,(B1)고덕방향 시/승-대합실(B2-B1),125,80.0,300.0,운행,1901918,2022-05-31 00:00:00,
46,서울교통공사S5,5호선,동대문역사문화공원,,지하,4.0,(B4)승강장 시점B5-대B4,지하,5.0,(B4)승강장 시점B5-대B4,125,80.0,300.0,운행,1900-417,2022-05-31 00:00:00,
48,서울교통공사S5,5호선,마천,1,지상,1.0,(F1)#1출입구(B1대-F1),지하,1.0,(F1)#1출입구(B1대-F1),125,80.0,300.0,운행,1900757,2022-05-31 00:00:00,
49,서울교통공사S5,6호선,불광,,지하,1.0,(B1)종점3환승통로(B4-B1)-종3가측,지하,2.0,(B1)종점3환승통로(B4-B1)-종3가측,125,80.0,300.0,운행,1900413,2022-05-31 00:00:00,
51,서울교통공사S5,6호선,구산,,지하,2.0,(B2)승-대(B4-B1),지하,3.0,(B2)승-대(B4-B1),125,80.0,300.0,운행,1900435,2022-05-31 00:00:00,
52,서울교통공사S5,6호선,새절,,지하,1.0,(B1)하선 승/시-대(B2-B1),지하,2.0,(B1)하선 승/시-대(B2-B1),125,80.0,300.0,운행,1900434,2022-05-31 00:00:00,
53,서울교통공사S5,6호선,디지털미디어시티,,지하,2.0,(B2)공항철도 환승 상선 승/종-대(B2-B1),지하,3.0,(B2)공항철도 환승 상선 승/종-대(B2-B1),125,80.0,300.0,운행,1900229,2022-05-31 00:00:00,
56,서울교통공사S5,6호선,합정,,지하,2.0,(B2)대합실-대합실 (B1층),지하,3.0,(B2)대합실-대합실 (B1층),125,90.0,300.0,운행,1903-890,2022-05-31 00:00:00,
57,서울교통공사S5,6호선,광흥창,,지하,2.0,(B2)승/종-대(B3-B2),지하,3.0,(B2)승/종-대(B3-B2),125,80.0,300.0,운행,1902001,2022-05-31 00:00:00,
58,서울교통공사S5,6호선,대흥,2,지상,1.0,(F1)#2번 출입구(B1-1F),지하,1.0,(F1)#2번 출입구(B1-1F),125,80.0,300.0,운행,1900447,2022-05-31 00:00:00,
59,서울교통공사S5,6호선,삼각지,,지하,1.0,(B1)4호선환승(사당방향)(B4-B3),지하,4.0,(B1)4호선환승(사당방향)(B4-B3),125,80.0,300.0,운행,1900246,2022-05-31 00:00:00,
61,서울교통공사S5,6호선,신당,,지하,1.0,(B1)2환승(5승강-대)(B3-B2),지하,2.0,(B1)2환승(5승강-대)(B3-B2),125,80.0,300.0,운행,1900251,2022-05-31 00:00:00,
66,서울교통공사S5,6호선,월곡,,지하,1.0,(B1)대-대(B2-B1),지하,2.0,(B1)대-대(B2-B1),125,80.0,300.0,운행,1901031,2022-05-31 00:00:00,
67,서울교통공사S5,6호선,상월곡,,지하,2.0,"(B2)월곡방향, 시/승-대(B3-B2)",지하,3.0,"(B2)월곡방향, 시/승-대(B3-B2)",125,80.0,300.0,운행,1903486,2022-05-31 00:00:00,
69,서울교통공사S5,6호선,석계,,지하,2.0,"(B2)1호선 환승 상선, 시/승 - 대(B3-B2)",지하,3.0,"(B2)1호선 환승 상선, 시/승 - 대(B3-B2)",125,80.0,300.0,운행,1901003,2022-05-31 00:00:00,
71,서울교통공사S5,6호선,봉화산,,지하,1.0,"(B1)화랑대방향, 종/승-대(B2-B1)",지하,2.0,"(B1)화랑대방향, 종/승-대(B2-B1)",125,80.0,300.0,운행,1903412,2022-05-31 00:00:00,
73,서울교통공사S5,6호선,동묘앞,,지하,1.0,(B1)대-대(B2-B1),지하,2.0,(B1)대-대(B2-B1),125,80.0,300.0,운행,1900043,2022-05-31 00:00:00,
75,서울교통공사S5,7호선,수락산,,지하,2.0,(B2)도봉산방향 시/승-대(B3-B2),지하,3.0,(B2)도봉산방향 시/승-대(B3-B2),125,80.0,300.0,운행,1902608,2022-05-31 00:00:00,
77,서울교통공사S5,7호선,마들,,지하,1.0,(B1)대합실-대합실(B2-B1),지하,2.0,(B1)대합실-대합실(B2-B1),125,80.0,300.0,운행,1900923,2022-05-31 00:00:00,
78,서울교통공사S5,7호선,건대입구,,지상,2.0,"(F2)2환승계단(E/S5,6호기)(B1-2F)",지하,1.0,"(F2)2환승계단(E/S5,6호기)(B1-2F)",125,80.0,300.0,운행,1902289,2022-05-31 00:00:00,
81,서울교통공사S5,7호선,청담,,지하,3.0,(B3)뚝섬유원지방향 승/종-대(B4-B3),지하,4.0,(B3)뚝섬유원지방향 승/종-대(B4-B3),125,80.0,300.0,운행,1901913,2022-05-31 00:00:00,
83,서울교통공사S5,7호선,논현,,지하,1.0,(B1)대-대(B2-B1),지하,2.0,(B1)대-대(B2-B1),125,80.0,300.0,운행,1900831,2022-05-31 00:00:00,
84,서울교통공사S5,7호선,반포,,지하,1.0,(B1)대-대(B2-B1),지하,2.0,(B1)대-대(B2-B1),125,80.0,300.0,운행,1904-018,2022-05-31 00:00:00,
89,서울교통공사S5,7호선,이수,,지하,2.0,(B2)4환승통로상선(승-승)(B4-B2),지하,3.0,(B2)4환승통로상선(승-승)(B4-B2),125,80.0,300.0,운행,1901232,2022-05-31 00:00:00,
92,서울교통공사S5,7호선,대림,,지상,2.0,"(F2)2환승통로(E/S#11,12계단)",지하,2.0,"(F2)2환승통로(E/S#11,12계단)",125,80.0,300.0,운행,1901128,2022-05-31 00:00:00,
93,서울교통공사S5,7호선,남구로,,지하,5.0,(B5)대림방향 시/승-대(B5-B4),지하,4.0,(B5)대림방향 시/승-대(B5-B4),125,80.0,300.0,운행,1901117,2022-05-31 00:00:00,
104,서울교통공사S5,7호선,가산디지털단지,,지하,1.0,(B1)대-대(B1-B1),지하,1.0,(B1)대-대(B1-B1),125,80.0,300.0,운행,1901091,2022-05-31 00:00:00,
108,서울교통공사S5,7호선,광명사거리,,지하,2.0,(B2)상선 종/승(B3-B2),지하,3.0,(B2)상선 종/승(B3-B2),125,80.0,300.0,운행,3903261,2022-05-31 00:00:00,
109,서울교통공사S5,7호선,온수,,지하,1.0,(B1)국철환승 하선 시/승-대(B2-B1),지하,2.0,(B1)국철환승 하선 시/승-대(B2-B1),125,80.0,300.0,운행,1901072,2022-05-31 00:00:00,
114,서울교통공사S5,7호선,어린이대공원,,지상,1.0,(F1-F2) ,지상,2.0,(F1-F2) ,125,80.0,300.0,운행,1902-175,2022-05-31 00:00:00,
118,서울교통공사S5,8호선,복정,4,지상,1.0,(F1)#4출구(B1-F1),지하,1.0,(F1)#4출구(B1-F1),125,80.0,300.0,운행,1900771,2022-05-31 00:00:00,
119,서울교통공사S5,8호선,모란,,지하,2.0,(B2)승상종점-분당선환승(B3-B2),지하,3.0,(B2)승상종점-분당선환승(B3-B2),125,80.0,300.0,운행,3900941,2022-05-31 00:00:00,
121,광주도시철도,1호선,양동시장,3번,지하,1.0,(B1) 3번 출입구,지상,1.0,(1F) 3번 출입구 양동파출소 앞,1250,800.0,300.0,운행,7900-073,20220530,
122,코레일,동해선,기장,1,지상,1.0,(1) 부전방향 승강장 ,지상,,승강장 ((1) 부전방향),1820,1100.0,350.0,운행,,20220622,승강장(열차승차)용
124,코레일,동해선,벡스코,,지하,2.0,(B2) 2호선 양산방향,지하,1.0,(B1) 동해선 벡스코역에서 2호선 벡스코역 경계 위치,1250,900.0,300.0,운행,8903-257,20220622,
126,코레일,동해선,부전,,지상,1.0,"(1F) 5,6번 승강장",지상,,"승강장 ((1F) 5,6번)",1800,1100.0,250.0,운행,,20220622,승강장(열차승차)용
129,코레일,동해선,센텀,,지상,,승강장(태화강 방면),지상,,승강장 (태화강 방면),1820,1100.0,250.0,운행,,20220622,승강장(열차승차)용
131,코레일,동해선,신해운대,,지하,2.0,(B2) 센텀 방면(상행) 승강장 엘리베이터 앞,지하,,승강장 ((B2) 벡스코 방면(상행) 엘리베이터 앞),1820,1100.0,250.0,운행,,20220622,승강장(열차승차)용
134,코레일,1호선,관악,,지상,1.0,1F(석수역 방향 상행승강장 계단 옆),지상,2.0,2F(석수역 방향 표 내는곳 앞),1100,800.0,300.0,운행,3901-499,20220608,
135,코레일,1호선,광운대,,지하,1.0,"(B1) 석계역 방향 승강장, (B1) 종착행 승강장 방향",지하,1.0,"(1층) 석계역 방향 승강장 8-2, (1층) 종착행 승강장방향 1-1",1200,83.0,300.0,운행,1900-927/1902-645,20220614,
136,코레일,1호선,구로,"2,3",지상,1.0,"1층 2,3번 승강장 맞이방 방향",지상,3.0,"3층 2,3번 승강장 맞이방 방향",1250,800.0,300.0,운행,1901-447,20220609,
140,코레일,1호선,구일,1,지상,1.0,(1F) 1번출입구 표내는 곳 계단앞,지상,1.0,(1F) 구로역방향 계단,15,120.0,300.0,운행,0901-406,20220615,
145,코레일,1호선,군포,하행 승강장 북쪽 계단,지상,2.0,(2F) 당정역 방향 승강장 계단 앞,지상,2.0,(2F) 당정역 방향 승강장 계단 옆,1350,80.0,300.0,운행,3903-288,20220603,
147,코레일,1호선,남영,1,지상,1.0,계단 옆,지상,2.0,맞이방 계단 옆,1250,800.0,200.0,운행,1900-429,20220609,
148,코레일,1호선,노량진,2,지상,3.0,(3F) 용산방면(일반상행) 5번승강장 계단 입구,지상,1.0,(1F) 용산방면 (일반상행) 5번승강장 계단 입구,1250,800.0,300.0,운행,1901-379,20220612,
152,코레일,1호선,덕계,2번 출구,지상,1.0,(1F) 2번 출구 외부 계단,지상,2.0,(1.5F) 2번 출구 외부 계단,800,82.0,300.0,운행 중지,3900-161,20220609,
153,코레일,1호선,망월사,3,지상,1.0,1층 --> 2층 의정부 방면 승강장,지상,2.0,의정부 방면 승강장,1250,800.0,300.0,운행,3900-577,20220608,
155,코레일,1호선,서정리,,지상,3.0,맞이방에서 서울방향 상선 기차타는곳,지상,1.0,송탄방향 상선 국철타는곳,1270,80.0,300.0,운행,3904-453,20220604,
157,코레일,1호선,석수,,지상,1.0,"금천구청역 방향 승강장 10-4, 상행 계단 올라가는 곳",지상,2.0,상행승강장(2번 홈) 계단 내려가는 곳,1250,800.0,300.0,운행,3901-035,20220604,
159,코레일,1호선,세류,1,지하,1.0,병전역방면승강장4-4 승강장,지상,1.0,지하통로-승강장,1250,800.0,200.0,운행,3901-091,20220624,
160,코레일,1호선,신이문,"1, 2",지상,1.0,(1F) 석계역 방향 승강장 1-1 앞,지상,2.0,(2F) 북부역사 맞이방,1200,120.0,300.0,운행,1901-023,20220617,
163,코레일,1호선,아산,1,지상,1.0,CA웨딩홀 방면 환승통로,지상,2.0,CA웨딩홀 방면 환승통로,,,340.0,운행,5902-947,20220620,
164,코레일,1호선,영등포,,지상,1.0,(1F) 수원역(기차) 방향 승강장 남쪽,지상,1.0,(1F) 수원역 방향 승강장 남쪽,1400,950.0,350.0,운행,대상아님,20220605,승강장용
167,코레일,1호선,오산,1,지상,1.0,국철 하행승강장 내려가는 입구,지상,1.0,국철 하행방향 저상홈 1층,1250,800.0,300.0,운행,3094-225,20220618,
169,코레일,1호선,외대앞,1,지상,1.0,(1F) 신이문역 방향 승강장 남쪽 계단 앞,지상,3.0,"(3F) 맞이방 계단 앞, 2번 출입구 방향",1250,800.0,300.0,운행,1903-402,20220608,
170,코레일,1호선,평택,,지상,1.0,"(1F) 국철 상선 2, 3호차 타는곳 ",지상,1.0,"(1F) 국철 상선 2, 3호차 타는곳 ",1400,1200.0,350.0,운행,SSL-005,20220603,
172,코레일,4호선,범계,2,지하,1.0,"(B1) 맞이방 내 2,3번출구 계단 옆  ",지하,1.0,(B1) 2번 출입구 방향 계단 옆,1800,800.0,300.0,운행,3900-819,20220615,
174,코레일,경의중앙선,상봉,,지상,1.0,KTX승강장,지상,1.0,KTX승강장 (이동식),,,,,,,
175,코레일,경의중앙선,양평,국철상선 5번승강장,지상,1.0,국철상선 5번승강장 ,,,국철상선 5번승강장 엘리베이터 옆(3호차),1600mm,1200.0,,운행,,20220621,이동식
177,코레일,경의중앙선,지평,,지상,2.0,2,지상,2.0,하행승강장,1200,120.0,230.0,운행,,2022.06.15,단차해소 이동용
179,코레일,경의중앙선,서빙고,,지상,2.0,연결통로,지상,1.0,승강장계단 내려가는 곳,1250,800.0,300.0,운행,1900-561,20220609,
181,코레일,경의중앙선,한남,1,지상,1.0,"(1F) 표내는곳 내 이동통로 계단 옆 , 1번 출입구 방향",지상,2.0,(2F) 옥수역 방향 승강장 8-4 출입문 앞,1250 mm,800.0,300.0,운행,1902-155,2022.06.06,
183,코레일,수인선,달월,,지상,1.0,(F1) 표 내는 곳 앞,지상,1.0,(F1) 이동통로 입구,157,115.0,330.0,운행,3902-269,20220604,이동통로 계단 존재
189,코레일,분당선,수서,,지하,3.0,환승통로(분당선->3호선),지하,3.0,환승통로(분당선->3호선),1250,800.0,300.0,운행,1903-266,20220614,
192,코레일,4호선,안산,2,지상,2.0,(2층) 2번 출입구 계단,지상,1.0,(1층) 2번 출입구 계단,1700,80.0,300.0,운행,3901-462,20220610,
194,코레일,분당선,한티,5번출입구,지하,1.0,(B1)맞이방에서 5번출입구쪽,지하,1.0,"지하1층 맞이방에서 7,8번출구쪽방향",1250,800.0,300.0,미운행,1900-550,20220610,고장철거예정
197,서울9호선,9호선,샛강,,지하,2.0,(B2) 안전관리실 옆,지하,1.0,(B1) 원형 대합실 복도,,,,미운행,0026-831,20220621,
202,부산교통공사,2호선,서면,,지하,2.0,"(B2, B3) 중간층 환승통로",지하,2.0,(B2) 노포행 방향 6-3 출입문 앞,1350,1100.0,340.0,운행,8900-002,20226020,수직형
206,부산교통공사,2호선,가야,2,지하,1.0,(B1) 2번 출입구 옆 화장실 입구 계단 아래,지하,1.0,(B1) 2번 출구 옆 화장실 입구 계단 위,1050,760.0,225.0,운행,8901-465,20226020,경사형
207,부산교통공사,2호선,모덕,2,지하,1.0,(B1) 대합실 2번 출입구 계단 밑,지상,1.0,(1F) 2번 출입구 앞,1050,760.0,225.0,운행,8901-472,20226020,경사형
208,인천교통공사,인천1호선,부평,,지하,1.0,(B1) 부개역(코레일) 방향 승강장 계단 앞,지상,1.0,(1F) 부개역(코레일) 방향 승강장 출입문 앞,1350,800.0,300.0,운행,3903-964,2022.05.31.,
210,인천교통공사,인천1호선,동막,1,지하,1.0,(B1) 동막역 1번 출입문 방향,지하,1.0,(M1) 3번/4번 출입구 방향,1350,800.0,300.0,운행,3903-968,2022.05.31.,
