시도,시군구,위도,경도,보유차량대수,슬로프형휠체어차량대수,리프트형휠체어차량대수,일반차량대수
충청남도,당진시,36.88724061,126.6247065,14,12,2,0
경기도,과천시,37.4281927195,126.9891524184,6,6,0,0
충청남도,홍성군,36.59770889,126.6558164,9,0,0,9
전라남도,완도군,34.318879,126.7445341,4,4,0,0
충청남도,금산군,36.11216659,127.4815168,3,3,0,0
광주광역시,북구,35.21828687,126.8926489,306,112,4,190
충청북도,괴산군,36.80617067,127.7915432,2,2,0,0
충청북도,괴산군,36.80574942,127.8005846,2,2,0,0
전라남도,곡성군,35.2804357552,127.2962814546,4,0,3,1
경기도,의왕시,37.30274385,126.959074,11,11,0,0
충청남도,서천군,36.07484589,126.6914382,6,6,0,0
대전광역시,중구,36.3173370007,127.4280138234,86,81,5,0
충청북도,영동군,36.1691321299,127.7758461604,2,0,2,0
충청북도,영동군,36.1691321299,127.7758461604,1,1,0,0
전라남도,장흥군,34.686864755,126.9096495056,8,8,0,0
전라남도,화순군,35.0677473,126.991519,3,3,0,0
경상남도,양산시,35.35051203,129.0350935,30,30,0,0
경상남도,남해군,34.84954976,127.9088757,7,2,5,0
경기도,남양주시,37.655503,127.179231,57,57,0,0
서울특별시,강남구,37.48698084,127.106927,3,0,3,0
충청남도,천안시,36.797916,127.1431034,43,43,0,0
강원도,양양군,38.07784423,128.6274852,2,2,0,0
강원도,양양군,38.07784423,128.6274852,2,2,0,0
충청남도,태안군,36.74591186,126.3018915,2,2,1,-1
충청북도,보은군,36.4886825,127.7234966,2,0,0,2
전라남도,영암군,34.79496124,126.6969605,6,6,0,0
경상북도,포항시,36.008952,129.363876,30,33,0,-3
경상북도,울릉군,37.49693638,130.8971107,1,1,0,0
경기도,구리시,37.59696327,127.1355313,18,18,0,0
경기도,수원시,37.23777723,127.018347,90,90,0,0
전라북도,무주군,36.00671051,127.662714,4,4,0,0
경상북도,김천시,36.1317781305,128.137665,10,10,0,0
충청북도,충주시,37.00169614,127.9180329,21,21,0,0
경상북도,상주시,36.39972419,128.1513513,11,11,0,0
전라북도,정읍시,35.58500364,126.8606847,12,11,1,0
경상남도,창원시,35.234007131,128.6647353695,107,83,24,0
충청남도,천안시,36.7979991,127.1431034,31,31,0,0
충청남도,공주시,36.49366156,127.1356957,10,10,0,0
충청남도,보령시,36.34544473,126.6020154,9,6,3,0
충청남도,아산시,36.78898932,126.9978278,20,16,4,0
충청남도,서산시,36.74512191,126.4852735,8,8,0,0
충청남도,논산시,36.20032028,127.0782185,10,10,0,0
전라남도,순천시,34.9609134751,127.4897496805,22,22,0,0
충청남도,서산시,36.77801054,126.4554934,10,10,0,0
전라북도,순창군,35.37765073,127.1468543,4,4,0,0
경상남도,통영시,34.84996554,128.4293738,20,0,20,0
전라남도,여수시,34.7770136,127.6554801,22,22,0,0
전라북도,고창군,35.43762073,126.7129638,6,5,1,0
전라북도,전주시,35.84075454,127.127127,55,53,2,0
전라북도,익산시,35.919194,126.9188748,21,21,0,0
충청남도,당진시,36.88724412,126.6247053,12,11,1,0
충청남도,금산군,36.10193265,127.5067571,3,3,0,0
충청남도,부여군,36.27331322,126.8712187,2,2,2,-2
충청남도,서천군,36.07485734,126.6914297,5,0,5,0
충청남도,청양군,36.44939025,126.786522,3,0,3,0
충청남도,홍성군,36.59770889,126.6558164,2,0,0,2
충청남도,예산군,36.69471087,126.8353696,6,6,0,0
충청남도,태안군,36.74591186,126.3018915,2,2,0,0
전라북도,완주군,35.93733144,127.1620975,10,10,0,0
전라남도,담양군,35.31476994,126.9766124,3,3,0,0
경기도,부천시,37.51275697,126.7639108,76,76,0,0
강원도,춘천시,37.88007265,127.7279085,4,4,4,-4
전라남도,강진군,34.64034375,126.7741157,2,2,0,0
경기도,하남시,37.538986,127.230067,23,21,2,0
경기도,동두천시,37.89864229,127.0691004,14,12,2,0
경상북도,경산시,35.81721215,128.7682761,21,21,0,0
전라남도,보성군,34.77417491,127.0865911,4,4,0,0
강원도,홍천군,37.6922014325,127.8921725506,10,10,0,0
경기도,양평군,37.49776189,127.4871469,27,24,0,3
전라남도,해남군,34.57095368,126.605043,7,7,0,0
세종특별자치시,연서면,36.5941098997,127.2841210513,27,21,0,6
부산광역시,연제구,35.19784977,129.0800058,187,183,4,0
경상북도,칠곡군,36.0066688835,128.4082377364,7,7,0,0
경기도,파주시,37.7961277,126.7901986,36,35,1,0
경기도,양주시,37.81249951,126.9723084,23,23,0,0
충청북도,단양군,36.98284257,128.3707522,3,3,0,0
충청북도,단양군,36.98530043,128.3686533,2,0,0,2
충청북도,단양군,36.98530043,128.3686533,1,0,1,0
경기도,군포시,37.3484764649,126.9503024796,23,23,0,0
경기도,안성시,37.01319895,127.3278403,15,15,0,0
전라남도,무안군,34.99186126,126.478132,4,4,0,0
경기도,가평군,37.82631492,127.5075875,16,16,0,0
경상남도,밀양시,35.47395045,128.7540292,20,20,0,0
경기도,오산시,37.156843,127.0726163,17,15,0,2
전라남도,광양시,34.9754338,127.5782601,12,12,0,0
