시도명,시군구명,위도,경도,보행자신호등유무,보도턱낮춤여부,점자블록유무
경기도,남양주시,37.601593,127.177871,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.612534,127.171871,Y,Y,Y
경기도,남양주시,37.612514,127.171888,Y,Y,Y
경기도,남양주시,37.612514,127.171888,Y,Y,Y
경기도,남양주시,37.609185,127.176908,Y,Y,Y
경기도,남양주시,37.609185,127.176908,Y,Y,Y
경기도,남양주시,37.609185,127.176908,Y,Y,Y
경기도,남양주시,37.609185,127.176908,Y,Y,Y
경기도,남양주시,37.609185,127.176908,Y,Y,Y
경기도,남양주시,37.599656,127.178388,Y,Y,Y
경기도,남양주시,37.607285,127.168943,Y,Y,Y
경기도,남양주시,37.607285,127.168943,Y,Y,Y
경기도,남양주시,37.607285,127.168943,Y,Y,Y
경기도,남양주시,37.607285,127.168943,Y,Y,Y
경기도,남양주시,37.596521,127.173519,Y,Y,Y
경기도,남양주시,37.596623,127.173552,Y,Y,Y
경기도,남양주시,37.600035,127.173943,Y,Y,Y
경기도,남양주시,37.601842,127.174041,Y,Y,Y
경기도,남양주시,37.601981,127.174082,Y,Y,Y
경기도,남양주시,37.604639,127.174328,Y,Y,Y
경기도,남양주시,37.604739,127.174328,Y,Y,Y
경기도,남양주시,37.606177,127.173942,Y,Y,Y
경기도,남양주시,37.606177,127.173942,Y,Y,Y
경기도,남양주시,37.608052,127.172855,Y,Y,Y
경기도,남양주시,37.608211,127.172807,Y,Y,Y
경기도,남양주시,37.608215,127.172807,Y,Y,Y
경기도,남양주시,37.608216,127.172807,Y,Y,Y
경기도,남양주시,37.608216,127.172807,Y,Y,Y
경기도,남양주시,37.608215,127.172807,Y,Y,Y
경기도,남양주시,37.608214,127.172807,Y,Y,Y
경기도,남양주시,37.608214,127.172807,Y,Y,Y
경기도,남양주시,37.608211,127.172807,Y,Y,Y
경기도,남양주시,37.608214,127.172807,Y,Y,Y
경기도,남양주시,37.608216,127.172807,Y,Y,Y
경기도,남양주시,37.608214,127.172807,Y,Y,Y
경기도,여주시,37.33977121,127.5274342,Y,N,N
경기도,여주시,37.33952408,127.527422,Y,N,N
경기도,여주시,37.339641,127.527147,Y,N,N
경기도,여주시,37.33837669,127.5206662,Y,N,N
경기도,여주시,37.33837669,127.5206662,Y,N,N
경기도,여주시,37.33748649,127.5198117,Y,N,N
경기도,여주시,37.33253848,127.5425191,Y,Y,N
경기도,여주시,37.33253848,127.5425191,Y,Y,N
경기도,여주시,37.33253848,127.5425191,Y,Y,N
경기도,여주시,37.36410715,127.5402383,Y,N,N
경기도,여주시,37.27018972,127.6095927,Y,Y,Y
경기도,여주시,37.299487,127.578951,Y,Y,N
경기도,여주시,37.29856426,127.5791249,Y,N,N
경기도,여주시,37.23332064,127.5696977,Y,Y,Y
강원도,동해시,37.484132,129.103217,Y,Y,Y
강원도,동해시,37.484005,129.103376,Y,Y,Y
강원도,동해시,37.486212,129.108287,Y,Y,N
강원도,동해시,37.486116,129.108157,Y,Y,N
강원도,동해시,37.486116,129.108411,Y,Y,N
강원도,동해시,37.479853,129.109658,Y,Y,N
강원도,동해시,37.479726,129.109489,Y,Y,N
강원도,동해시,37.479845,129.103035,Y,Y,Y
강원도,동해시,37.479935,129.103177,Y,Y,Y
강원도,동해시,37.486992,129.119329,Y,Y,Y
강원도,동해시,37.490712,129.121111,Y,Y,Y
강원도,동해시,37.490751,129.120879,Y,Y,Y
강원도,동해시,37.490882,129.120943,Y,Y,Y
강원도,동해시,37.490884,129.121183,Y,Y,Y
강원도,동해시,37.480199,129.140251,Y,Y,Y
강원도,동해시,37.480501,129.140348,Y,Y,Y
강원도,동해시,37.480435,129.140723,Y,Y,Y
강원도,동해시,37.557215,129.104407,Y,Y,Y
강원도,동해시,37.551881,129.105311,Y,Y,Y
강원도,동해시,37.551851,129.105463,Y,Y,Y
강원도,동해시,37.551697,129.105278,Y,Y,Y
강원도,동해시,37.551692,129.105451,Y,Y,Y
강원도,동해시,37.476733,129.131896,Y,Y,Y
강원도,동해시,37.487721,129.123251,Y,Y,Y
강원도,동해시,37.487878,129.122954,Y,Y,N
강원도,동해시,37.489512,129.121986,Y,N,N
경기도,여주시,37.31953543,127.6280281,Y,N,N
경기도,여주시,37.31931521,127.629167,Y,Y,N
경기도,여주시,37.30418534,127.6728849,Y,Y,Y
경기도,여주시,37.30150438,127.6815508,Y,N,N
경기도,여주시,37.28692268,127.6832682,Y,N,N
경기도,여주시,37.28675618,127.6863061,Y,Y,Y
경기도,여주시,37.3032359,127.6416223,Y,Y,Y
경기도,여주시,37.30486702,127.637592,Y,Y,Y
경기도,여주시,37.31087242,127.6311036,Y,Y,Y
경기도,여주시,37.31721604,127.6305023,Y,Y,Y
경기도,남양주시,37.607711,127.171202,Y,Y,Y
경기도,남양주시,37.608085,127.172761,Y,Y,Y
경기도,남양주시,37.608085,127.172761,Y,Y,Y
경기도,남양주시,37.608085,127.172761,Y,Y,Y
경기도,남양주시,37.608085,127.172761,Y,Y,Y
