년,합계(시내),서울특별시(시내),부산광역시(시내),대구광역시(시내),인천광역시(시내),광주광역시(시내),대전광역시(시내),울산광역시(시내),세종특별자치시(시내),경기도(시내),강원도(시내),충청북도(시내),충청남도(시내),전라북도(시내),전라남도(시내),경상북도(시내),경상남도(시내),제주특별자치도(시내)
2012,32934,7530,2511,1561,2338,930,965,678,0,10069,564,542,827,825,685,1119,1618,172
2013,32552,7534,2511,1658,2312,930,965,670,0,9793,567,540,758,850,680,1088,1529,167
2014,32552,7534,2511,1658,2312,930,965,670,0,9793,567,540,758,850,680,1088,1529,167
2015,32552,7534,2511,1658,2312,930,965,670,0,9793,567,540,758,850,680,1088,1529,167
2016,33887,7436,2511,1521,2322,998,965,729,138,10590,569,578,944,829,713,1197,1653,194
2017,33796,7134,2517,1521,2324,1041,1016,741,184,10138,659,537,791,976,736,1444,1647,390
2018,34287,7405,2517,1521,2341,1041,1016,830,235,10548,554,586,874,827,722,1177,1704,389
2019,34086,7316,2489,1599,2331,1032,1005,827,281,10460,539,628,795,820,715,1167,1697,385
2020,35445,7392,2517,1617,2325,1044,1016,844,244,11375,518,637,883,829,882,1212,1720,389
2021,35335,7395,2517,1623,2204,999,1015,848,268,11007,511,637,902,818,737,1285,1739,830
