육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
우신초교 앞 보도육교,시도,147,신길로,서울특별시 영등포구 신길로 190,37.509263,126.910801,23.0,4.7,,4.5,3.4,1.0,8.0,Y,점자블럭+핸드레일 촉지판,24.0,,,1980-09-18, ,보통,제한없음,,정기점검,2022-04-16,서울특별시 영등포구청,2022-07-04,3180000,서울특별시 영등포구
유천육교,시도,,선수촌로,강원도 강릉시 유천동 788,37.76001124,128.8711276,38.0,4.7,,4.3,4.62,1.0,,Y,점자블럭,1.0,엘리베이터,2.0,,N,양호,제한없음,,정기점검,2022-05-12,강원도 강릉시청,2022-12-05,4200000,강원도 강릉시
망포육교,시도,,봉영로,경기도 수원시 영통구 봉영로 1432-25,37.24116294,127.0653941,40.0,7.2,,4.5,13.2,,,Y,점자블럭,,,,, ,보통,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
세교파출소앞 보도육교,기타,,수목원로,경기도 오산시 세마역로 5,37.180454,127.043843,56.1,4.0,,4.0,4.0,1.2,,Y,엘리베이터+점자블럭,2.0,,,2011-01-01,N,양호,제한없음,승강기보수,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
금암초앞 보도육교(8단지 옆),기타,,수목원로,경기도 오산시 수청로 204-20,37.178713,127.045499,39.0,4.0,,4.0,4.0,1.2,,Y,엘리베이터+점자블럭,2.0,,,2010-01-01,N,양호,제한없음,승강기보수,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
수청초등학교앞 보도육교,기타,,오산대역로,경기도 오산시 오산대역로 123,37.170033,127.056151,37.0,4.0,,4.0,4.0,1.2,,Y,엘리베이터+점자블럭,2.0,,,2010-01-01,N,양호,제한없음,승강기보수,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
16단지앞(국도1) 보도육교,일반국도,1호선,경기대로,경기도 오산시 내삼미로 109,37.172774,127.062813,39.0,4.0,,4.0,4.0,1.2,,Y,엘리베이터+점자블럭,2.0,,,2011-01-01,N,양호,제한없음,,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
오산대역(국도1) 보도육교,일반국도,1호선,경기대로,경기도 오산시 청학로 236,37.169115,127.064049,44.4,4.0,,4.0,4.0,1.2,,Y,엘리베이터+점자블럭,2.0,,,2011-01-01,N,양호,제한없음,,정기점검,2019-12-28,경기도 오산시청,2022-09-13,4000000,경기도 오산시
삼미육교,기타,,북삼미로,경기도 오산시 북삼미로 175,37.192029,127.061532,41.0,4.8,,4.5,3.5,1.5,,Y,엘리베이터+점자블럭,2.0,,,2019-10-18,Y,양호,제한없음,,정기점검,2019-10-18,경기도 오산시청,2022-09-13,4000000,경기도 오산시
가산한내 보도육교,시도,,서부간선도로,서울특별시 금천구 가산디지털2로 127-143,37.478621,126.876975,39.5,,,4.5,4.7,,,Y,점자블럭,,없음,,2007-12-24, ,보통,제한없음,,정기점검,2021-12-16,서울특별시 금천구청,2022-08-25,3170000,서울특별시 금천구
