시도명,시군구명,위도,경도,보행자신호등유무,보도턱낮춤여부,점자블록유무
경기도,남양주시,37.601593,127.177871,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.596648,127.173525,Y,Y,Y
경기도,남양주시,37.601905,127.173373,N,N,N
경기도,남양주시,37.604686,127.174283,N,N,N
경기도,남양주시,37.612534,127.171871,Y,Y,Y
경기도,남양주시,37.612514,127.171888,N,N,N
경기도,남양주시,37.611191,127.172553,N,N,N
경기도,남양주시,37.612514,127.171888,Y,Y,Y
경기도,남양주시,37.612514,127.171888,Y,Y,Y
경기도,남양주시,37.609185,127.176908,Y,Y,Y
경기도,남양주시,37.609185,127.176908,Y,Y,Y
경기도,남양주시,37.609185,127.176908,Y,Y,Y
경기도,남양주시,37.609185,127.176908,Y,Y,Y
경기도,남양주시,37.609185,127.176908,Y,Y,Y
경기도,남양주시,37.616134,127.158027,N,Y,Y
경기도,남양주시,37.599656,127.178388,Y,Y,Y
경기도,남양주시,37.601593,127.177871,N,Y,Y
경기도,남양주시,37.601593,127.177871,N,Y,Y
경기도,남양주시,37.601593,127.177871,N,Y,Y
경기도,남양주시,37.601593,127.177871,N,Y,Y
경기도,남양주시,37.598208,127.178355,N,Y,Y
경기도,남양주시,37.598208,127.178355,N,Y,Y
경기도,남양주시,37.607285,127.168943,Y,Y,Y
경기도,남양주시,37.607202,127.169042,N,Y,Y
경기도,남양주시,37.607285,127.168943,Y,Y,Y
경기도,남양주시,37.607285,127.168943,Y,Y,Y
경기도,남양주시,37.607285,127.168943,Y,Y,Y
경기도,남양주시,37.607621,127.170471,N,Y,Y
경기도,남양주시,37.608636,127.169844,N,Y,Y
경기도,남양주시,37.596521,127.173519,Y,Y,Y
경기도,남양주시,37.596623,127.173552,Y,Y,Y
경기도,남양주시,37.600035,127.173943,Y,Y,Y
경기도,남양주시,37.601842,127.174041,Y,Y,Y
경기도,남양주시,37.601981,127.174082,Y,Y,Y
경기도,남양주시,37.604639,127.174328,Y,Y,Y
경기도,남양주시,37.604739,127.174328,Y,Y,Y
경기도,남양주시,37.606177,127.173942,Y,Y,Y
경기도,남양주시,37.606177,127.173942,Y,Y,Y
경기도,남양주시,37.608052,127.172855,Y,Y,Y
경기도,남양주시,37.608211,127.172807,Y,Y,Y
경기도,남양주시,37.608215,127.172807,Y,Y,Y
경기도,남양주시,37.608216,127.172807,Y,Y,Y
경기도,남양주시,37.608216,127.172807,Y,Y,Y
경기도,남양주시,37.608215,127.172807,Y,Y,Y
경기도,남양주시,37.608214,127.172807,Y,Y,Y
경기도,남양주시,37.608214,127.172807,Y,Y,Y
경기도,남양주시,37.608211,127.172807,Y,Y,Y
경기도,남양주시,37.608214,127.172807,Y,Y,Y
경기도,남양주시,37.608216,127.172807,Y,Y,Y
경기도,남양주시,37.608214,127.172807,Y,Y,Y
경기도,여주시,37.29635509,127.5787272,N,Y,N
경기도,여주시,37.296332,127.578586,N,Y,N
경기도,여주시,37.29630598,127.5791285,N,Y,N
경기도,여주시,37.294901,127.584358,N,Y,Y
경기도,여주시,37.293686,127.585084,N,Y,Y
경기도,여주시,37.36410715,127.5402383,N,N,N
경기도,여주시,37.34999556,127.5438271,N,N,N
경기도,여주시,37.34482789,127.5365518,N,N,N
경기도,여주시,37.33977121,127.5274342,Y,N,N
경기도,여주시,37.33952408,127.527422,Y,N,N
경기도,여주시,37.339641,127.527147,Y,N,N
경기도,여주시,37.3381567,127.5227044,N,N,N
경기도,여주시,37.33837669,127.5206662,Y,N,N
경기도,여주시,37.33837669,127.5206662,Y,N,N
경기도,여주시,37.33748649,127.5198117,Y,N,N
경기도,여주시,37.34527645,127.5132013,N,N,N
경기도,여주시,37.34383483,127.5503248,N,N,N
경기도,여주시,37.33253848,127.5425191,Y,Y,N
경기도,여주시,37.33253848,127.5425191,Y,Y,N
경기도,여주시,37.33253848,127.5425191,Y,Y,N
경기도,여주시,37.32946459,127.5401497,N,Y,N
경기도,여주시,37.32917318,127.539829,N,Y,N
경기도,여주시,37.32926359,127.5400286,N,Y,N
경기도,여주시,37.31705569,127.5362059,N,N,N
경기도,여주시,37.32567264,127.5556298,N,Y,Y
경기도,여주시,37.36410715,127.5402383,Y,N,N
경기도,여주시,37.3635467,127.5298443,N,Y,N
경기도,여주시,37.29100536,127.5874886,N,N,N
경기도,여주시,37.29386224,127.5918406,N,N,N
경기도,여주시,37.29493367,127.5938358,N,N,N
경기도,여주시,37.295874,127.597299,N,N,N
경기도,여주시,37.30461288,127.6126344,N,Y,N
경기도,여주시,37.30474586,127.6132408,N,Y,N
경기도,여주시,37.27635802,127.5457362,N,N,N
경기도,여주시,37.32567264,127.5556298,N,Y,Y
경기도,여주시,37.27018972,127.6095927,Y,Y,Y
경기도,여주시,37.27027705,127.6095551,N,Y,Y
경기도,여주시,37.27037524,127.6094957,N,Y,Y
경기도,여주시,37.27070998,127.6098411,N,Y,Y
경기도,여주시,37.27067964,127.5993718,N,Y,N
경기도,여주시,37.26922582,127.5955096,N,Y,N
경기도,여주시,37.2666262,127.5891074,N,Y,N
